m_no,m_title,m_synopsis,g_no,m_time,m_open,m_director
132,식스 센스,어느날 갑자기 죽은 자들이 한 소년을 찾아왔다! 아동 심리학자인 닥터 말콤 크로우는 자신의 집에 침입한 정신병자가 쏜 총에 맞아 쓰러진다. 정신병자는 크로우가 보는 앞에서 자살한다. 다음 해 가을 닥터 크로우는 여덟살 난 콜 시어의 정신상담을 맡게 된다. 자신의 무성의한 치료에 앙심을 품고 총구를 겨눈 뒤 자살한 환자의 영혼을 달래주기위하여 닥터 크로우는 정성을 다하여 콜의 상담 치료를 맡는다. 콜은 현재 정신적인 충격에 빠져있다. 그의 눈에 죽은 자들의 모습이 나타나기 때문이다. 문제는 죽은 자들이 나타났다가 그냥 사라지는 것이 아니라 자신들의 억울한죽음에 대해 콜에게 뭔가를 호소한다는 점이다. 과학적으로는 풀 수 없는 신비한 능력을 가진 콜은 자신에게 수시로 닥치는 공포로 인하여 누구와의 대화도 거부한다. 콜은 너무나 어린 탓에 자신의 신비한 능력을 이해하지 못한다. 점차 사람들과 거리를 두기 시작하는 콜에게 닥터 크로우가 대화의 문을 열기 위하여 다가간다. 콜은 자신의 신비한 능력은 물론 죽은 자들이 암시하고 간 한맺힌 죽음의 비밀에 관해 닥터 크로우에게 서서히 털어놓기 시작하는데....,3.7.8.10,107,2,M. 나이트 샤밀란
133,신과함께-죄와 벌,저승 법에 의하면 모든 인간은 사후 49일 동안 7번의 재판을 거쳐야만 한다.\n살인 나태 거짓 불의 배신 폭력 천륜\n7개의 지옥에서 7번의 재판을 무사히 통과한 망자만이 환생하여 새로운 삶을 시작할 수 있다.\n\n“김자홍 씨께선 오늘 예정 대로 무사히 사망하셨습니다”\n화재 사고 현장에서 여자아이를 구하고 죽음을 맞이한 소방관 자홍 그의 앞에 저승차사 해원맥과 덕춘이 나타난다. 자신의 죽음이 아직 믿기지도 않는데 덕춘은 정의로운 망자이자 귀인이라며 그를 치켜세운다. 저승으로 가는 입구 초군문에서 그를 기다리는 또 한 명의 차사 강림 그는 차사들의 리더이자 앞으로 자홍이 겪어야 할 7번의 재판에서 변호를 맡아줄 변호사이기도 하다. 염라대왕에게 천년 동안 49명의 망자를 환생시키면 자신들 역시 인간으로 환생시켜 주겠다는 약속을 받은 삼차사들 그들은 자신들이 변호하고 호위해야 하는 48번째 망자이자 19년 만에 나타난 의로운 귀인 자홍의 환생을 확신하지만 각 지옥에서 자홍의 과거가 하나 둘씩 드러나면서 예상치 못한 고난과 맞닥뜨리는데…\n\n누구나 가지만 아무도 본 적 없는 곳\n2017년 새로운 세계의 문이 열린다!,3.11,139,2,김용화
134,신데렐라,친절하고 상냥한 아릉다운 아가씨 신데렐라는 맘씨 나쁜 새 엄마와 시기심 많은 언니들의 구박을 받으면서도 희망을 잃지 않았다. 친구들이라고는 거스와 자크같은 생쥐뿐이지만 그들은 무슨 일이든 신데렐라를 도왔고 왕자님의 무도회가 열리던 날에는 착한 요정이 나타나 신데렐라에게 아름다운 드레스와 호박으로 만든 마차를 준비해 주었을 때에도 말이 되어 신데렐라와 동행한다. 궁정의 무도회에 참석해서 멋진 왕자님을 만난 신데렐라. 하지만 시계가 12시를 가리키자 마법은 풀려나고 신데렐라는 유리구두 한짝을 떨군 채 왕자님에게 인사도 못하고 도망치듯 궁전을 빠져나온다. 신데렐라의 이름도 모른 채 헤어진 왕자는 유리구두에 발이 맞는 아가씨를 찾아 온 나라의 아가씨에게 유리 구두를 신켜 보고 마침내 신데렐라의 집에서 신데렐라를 찾아낸다.,2.6.11.13.17,74,1,월프레드 잭슨
135,실미도,낙오자는 죽인다 체포되면 자폭하라\n인간한계에 도전하는 지옥훈련… 31인의 살인병기 ‘실미도부대’ 탄생\n“주석궁 침투 김일성 목을 따 오는 것이 너희의 임무다!”\n북으로 간 아버지 때문에 연좌제에 걸려 사회 어느 곳에서도 인간대접 받을 수 없었던 강인찬(설경구 분) 역시 어두운 과거와 함께 뒷골목을 전전하다가 살인미수로 수감된다. 그런 그 앞에 한 군인이 접근 ‘나라를 위해 칼을 잡을 수 있겠냐’는 엉뚱한 제안을 던지곤 그저 살인미수일 뿐인 그에게 사형을 언도하는데… 누군가에게 이끌려 사형장으로 향하던 인찬 그러나 그가 도착한 곳은 인천 외딴 부둣가 그곳엔 인찬 말고도 상필(정재영 분) 찬석(강성진 분) 원희(임원희 분) 근재(강신일 분) 등 시꺼먼 사내들이 잔뜩 모여 있었고 그렇게 1968년 대한민국 서부 외딴 섬 ‘실미도’에 기관원에 의해 강제차출된 31명이 모인다.\n영문 모르고 머리를 깎고 군인이 된 31명의 훈련병들 그들에게 나타난 예의 그 묘령의 군인은 바로 김재현 준위(안성기 분) 어리둥절한 그들에게 “주석궁에 침투 김일성 목을 따 오는 것이 너희들의 임무다”는 한 마디를 시작으로 냉철한 조중사(허준호 분)의 인솔하에 31명 훈련병에 대한 혹독한 지옥훈련이 시작된다.\n‘684 주석궁폭파부대’라 불리는 계급도 소속도 없는 훈련병과 그들의 감시와 훈련을 맡은 기간병들... “낙오자는 죽인다 체포되면 자폭하라!”는 구호하에 실미도엔 인간은 없고 ‘김일성 모가지 따기’라는 분명한 목적만이 존재해간다...,15,135,3,강우석
136,쓰리 빌보드,“내 딸이 죽었다”\n“아직도 범인을 못 잡은 거야?”\n“어떻게 그럴 수가 있지 경찰 서장?”\n세 개의 빌보드 광고판에 새겨진 엄마의 분노 세상을 다시 뜨겁게 만들다\n\n범인을 잡지 못한 딸의 살인 사건에 세상의 관심이 사라지자 엄마 ‘밀드레드’(프란시스 맥도맨드)는 아무도 사용하지 않는 마을 외곽 대형 광고판에 도발적인 세 줄의 광고를 실어 메시지를 전한다.\n광고가 세간의 주목을 끌며 마을의 존경 받는 경찰서장 ‘윌러비’(우디 해럴슨)와 경찰관 ‘딕슨’(샘 록웰)은 믿을 수 없는 경찰로 낙인찍히고 조용한 마을의 평화를 바라는 이웃 주민들은 경찰의 편에 서서 그녀와 맞서기 시작하는데…,3.4.5,115,3,마틴 맥도나
137,호빗: 뜻밖의 여정,새로운 판타지의 신화가 부활한다!!\n\n호빗족 ‘빌보 배긴스’는 어느 날 갑자기 찾아온 회색의 마법사 ‘간달프’로부터 뜻밖의 제안을 받는다. 오래 전 난쟁이족의 영토였지만 무시무시한 용 ‘스마우그’에게 빼앗겨 지금은 황무지로 변한 동쪽의 ‘외로운 산’ 에레보르 왕국을 되찾기 위해 함께 떠나자는 것. 어쩔 수 없이 전설의 용사 ‘소린’이 이끄는 13명의 난쟁이족과 함께 고블린과 오르크 흉악한 괴수 와르그 마법사들과 마주쳐야 하는 위험 가득한 여정에 오른다.\n외로운 산에 가기 위해서 반드시 거쳐야 하는 고블린 동굴에서 일행과 떨어져 헤매던 빌보는 그의 일생을 뒤바꿔놓는 존재인 ‘골룸’과 마주치게 되고 골룸과의 수수께끼 대결 끝에 대단한 힘을 지닌 골룸의 보물 ‘절대반지’를 얻게 된다. 험난한 여행의 길에서 빌보는 그 동안 자신도 몰랐던 용기와 능력을 발견하지만 바로 그 절대반지로 인해 아직 짐작도 못할 중간계의 거대한 운명에 휘말리게 되는데…\n\nJ.J.R 톨킨의 소설 `반지의 제왕`의 전편 격으로 알려진 소설 `호빗`을 영화한 작품이다. 무서운 용 스마우그가 지키고 있는 보물을 차지하기 위해 호빗 빌보와 동료들이 겪는 모험담으로 두 편의 시리즈로 제작된다.,11.12,169,2,피터 잭슨
138,호빗: 스마우그의 폐허,마침내 역사상 가장 치열한 최강의 전쟁이 시작된다!\n사나운 용 스마우그가 빼앗아간 동쪽의 ‘외로운 산’ 에레보르 왕국을 되찾기 위해 뜻하지 않은 여정을 떠나게 된 호빗 ‘빌보 배긴스’와 ‘간달프’ 난쟁이족 왕족의 후예 ‘소린’이 이끄는 13명의 난쟁이족. ‘레골라스’와 그의 파트너 ‘타우리엘’이 속해있는 엘프족의 합세로 더욱 강해진 원정대는 외로운 산으로 가는 길에 어둠의 숲에서 모습을 자유자재로 바꾸는 베오른과 거대한 거미떼를 만나고 난쟁이들에게 적대적인 엘프족에게 잡혔다가 도망쳐 호수마을을 지나는 등 다양한 모험을 하게 된다.\n그리고 마침내 에레보르의 외로운 산에 거의 다다랐을 때 그들이 지금껏 만났던 그 어떤 존재보다도 위험하고 모두의 용기와 우정 지혜의 한계를 시험에 들게 한 용 스마우그와 맞닥뜨리게 되는데….,3.11.12,161,2,피터 잭슨
139,호빗: 다섯 군대 전투,누군가는 죽고 누군가는 승리한다!\n\n빌보 배긴스 참나무 방패 소린 난쟁이 족이 떠난 거대한 여정 끝 난쟁이 족은 원래 자신들의 터전이던 에레보르에 있는 엄청난 보물을 되찾지만 이는 무시무시한 용 스마우그가 호수마을의 무기력한 주민들을 공격하게 되는 결과를 낳는다. 산 아래의 왕 참나부 방패 소린은 탐욕에 서서히 눈이 멀어 우정과 명예를 저버린 채 왕의 보물 아르켄스톤을 찾는다. 소린이 이성을 되찾도록 설득하는데 실패한 빌보는 훨씬 험난한 일이 펼쳐질 줄 모른 채 절박하고 위험한 결정을 내린다. 오래된 적이 중간계로 돌아온 것. 암흑의 군주 사우론은 오크 군대를 보내 외로운 산에 기습 공격을 감행한다. 고조된 긴장감 속에 어둠이 깔리자 난쟁이 엘프 인간은 단합할 것인지 말살될 것인지 택해야 한다. 마침내 다섯 군대의 전투가 시작되고 빌보는 본인과 친구들의 목숨을 걸고 싸워야만 하는데…,11.12,144,2,피터 잭슨
140,아멜리에,이름: 아멜리 풀랑\n직업: 몽마르트르 두 개의 풍차 카페 직원\n특징: 취미 부자\n\n금요일 저녁 혼자서 영화 보는 것을 즐기는 아멜리는\n크렘 브륄레의 캐러멜을 티스푼으로 깨트리거나\n생 마르탱 운하에서 하는 물수제비뜨기를 좋아한다.\n\n현재 남자친구는 없으며\n그녀의 주변은 늘 독특한 성격의 사람들로 북적인다.\n\n세월이 흘러도 혼자만의 시간과 여유를 즐기던\n아멜리에게 어느 날 운명의 사건이 찾아왔다.\n\n8월 29일 48시간 뒤\n그녀의 삶은 완전히 바뀔 것이다!\n물론 그녀는 아직 이 사실을 알지 못하지만...,5.11,121,3,장 피에르 주네
141,아바타,가까운 미래 지구는 에너지 고갈 문제를 해결하기 위해 머나먼 행성 판도라에서 대체 자원을 채굴하기 시작한다. 하지만 판도라의 독성을 지닌 대기로 인해 자원 획득에 어려움을 겪게 된 인류는 판도라의 토착민 ‘나비(Na’vi)’의 외형에 인간의 의식을 주입 원격 조종이 가능한 새로운 생명체 ‘아바타’를 탄생시키는 프로그램을 개발한다. 한편 하반신이 마비된 전직 해병대원 ‘제이크 설리(샘 워딩튼)’는 ‘아바타 프로그램’에 참가할 것을 제안 받아 판도라에 위치한 인간 주둔 기지로 향한다. 그 곳에서 자신의 ‘아바타’를 통해 자유롭게 걸을 수 있게 된 ‘제이크’는 자원 채굴을 막으려는 ‘나비(Na’vi)’의 무리에 침투하라는 임무를 부여 받는다. 임무 수행 중 ‘나비(Na’vi)’의 여전사 ‘네이티리(조 샐다나)’를 만난 ‘제이크’는 그녀와 함께 다채로운 모험을 경험하면서 ‘네이티리’를 사랑하게 되고 ‘나비(Na’vi)’들과 하나가 되어간다. 하지만 머지 않아 전 우주의 운명을 결정 짓는 대규모 전투가 시작되면서 ‘제이크’는 최후의 시험대에 오르게 되는데….행성 판도라와 지구의 피할 수 없는 전쟁! 이 모든 운명을 손에 쥔 제이크의 선택은?,1.9.12,161,2,제임스 카메론
142,아이언맨,천재적인 무기 발명가로 자신의 이익만 챙기며 엄청난 부를 누리고 있던 토니 스타크. 그런 그가 게릴라 군대에 붙잡혀 위기에 처하게 되자 그 곳에서 벗어나기 위해 철갑 수트를 급조 탈출에 성공하게 된다. <아이언맨>은 이 사건을 계기로 자신의 과거를 반성하게 된 스타크가 자신의 재력과 기술력을 총동원해 최고의 위력을 자랑하는 럭셔리 하이테크 수트를 제작 직접 그 수트를 입고 슈퍼 히어로 아이언맨이 되어 범죄와 맞서 싸우는 과정을 그린 작품.,1.3.9,125,2,존 파브로
143,아이언맨 2,자신이 아이언맨이라고 정체를 밝힌 뒤 할리우드 스타 못지 않은 인기를 누리던 토니 스타크. 스타크 인더스트리의 운영권을 수석 비서였던 페퍼포츠에게 일임하고 즐거운 나날을 보내던 그에게 생애 최고의 위기가 찾아온다. ‘스타크’ 가문에 대한 적대감으로 가득 찬 ‘위플래시’가 아이언맨 수트의 원천 기술인 아크 원자로 개발에 성공한 것. F-1 그랑프리에 출전하여 무방비 상태에 있던 토니 스타크에게 위협적인 공격을 가하는 위플래쉬. 이에 토니 스타크는 새로 개발한 업그레이드 수트를 이용 겨우 위기를 모면한다. 하지만 이 사건을 계기로 위플래시는 토니 스타크의 라이벌 ‘저스틴 해머’와 손을 잡고 아이언맨을 공격하기 시작하고 이에 토니 스타크는 오랜 동료 제임스 로드를 위한 새로운 하이테크 수트를 제작 ‘워 머신’으로 거듭난 그와 함께 강력해진 적들과의 본격적 대결에 나서는데…!,1.3.9,125,2,존 파브로
144,아이언맨 3,21세기 가장 매력적인 히어로의 귀환\n지금까지의 아이언맨은 잊어라!\n<어벤져스> 뉴욕 사건의 트라우마로 인해 영웅으로서의 삶에 회의를 느끼는 토니 스타크(로버트 다우니 주니어).\n그가 혼란을 겪는 사이 최악의 테러리스트 만다린(벤 킹슬리)을 내세운 익스트리미스 집단 AIM이 스타크 저택에 공격을 퍼붓는다. 이 공격으로 그에게 남은 건 망가진 수트 한벌 뿐.\n모든 것을 잃어버린 그는 다시 테러의 위험으로부터 세계와 사랑하는 여인(기네스 팰트로)를 지켜내야 하는 동시에 머릿속을 떠나지 않던 한가지 물음의 해답도 찾아야만 한다.\n과연 그가 아이언맨인가? 수트가 아이언맨인가?,1.9.12,130,2,쉐인 블랙
145,알라딘,전설의 도시 아그라바에서 귀여운 원숭이 아부와 함께 도둑질로 생계를 이어가는 알라딘은 술탄의 결혼 강요와 답답한 궁중 생활에 싫증을 느껴 궁에서 뛰쳐 나온 쟈스민을 만나 사랑에 빠진다. 한편 왕위를 노리는 사악한 고문관 자파는 신비의 동굴에 감춰진 램프를 얻기 위해 알라딘을 끌어들인다. 자파의 계략에 속아 동굴안으로 들어간 알라딘은 마법의 양탄자 덕분에 램프를 발견하지만 램프를 자파에게 가져다 주기 직전 동굴이 무너져 갇히고 만다. 그러나 램프의 요정 지니 도움으로 세 가지 소원을 이룰 수 있게 되는데 알라딘은 마지막 소원을 지니를 램프에서 구해주는데 쓰기로 약속한다. 첫번째 소원으로 쟈스민의 사랑을 얻기 위해 알라딘은 왕자로 변신해 화려하게 궁에 입성하고 쟈스민의 사랑도 차지하나 자파에게 램프를 뺏기고 만다. 그래서 자파는 왕위를 가로채고 쟈스민을 손에 넣으려는 찰라 알라딘은 기지를 발휘하여 지니의 도움없이 자파를 물리친다. 그리고 마지막 소원을 이용 지니를 램프에서 자유롭게 해준다.\n\n만든사람들,2.3.11.12.13.17,92,1,존 머스커
146,알제리 전투,알제리가 프랑스의 지배를 받던 시절 우연히 감옥에서 알제리 반군의 처형장면을 본 알리는 충격을 받고 석방후 민족 해방전선에 합류하여 반군 지도자가 되어 다른 동지들과 함께 알제리 독립을 위해 투쟁하는 이야기.,3.15,120,3,질로 폰테코르보
147,어거스트 러쉬,매력적인 밴드 싱어이자 기타리스트인 '루이스'(조나단 리스 마이어스)와 촉망 받는 첼리스트인 '라일라'(케리 러셀)는 우연히 파티에서 만나 첫 눈에 서로에게 빠져들고 그 날 밤을 함께 보내게 된다. 하지만 이튿날 라일라를 더 유명한 첼리스트로 키우려는 그녀의 아버지에 의해 둘은 헤어지게 되고 얼마 후 라일라는 임신 사실을 알게 된다. 우여곡절 끝에 아기를 출산하지만 아버지는 그녀에게 유산되었다는 거짓말을 하고… 한 편 이유도 알지 못한 채 라일라를 떠나 보낸 루이스는 음악에 대한 열정까지 잃어버리고 만다.\n\n루이스와 라일라의 아들 '에반'(프레디 하이모어)은 부모의 재능을 물려받아 특별한 음악적 재능을 가진 아이로 자란다. 부모만이 자신의 음악을 알아볼 수 있을 거라는 믿음으로 혼자서 부모를 찾아 뉴욕으로 향한 에반는 우연히 거리의 낯선 남자 '위저드'(로빈 윌리암스)를 만나게 된다. 위저드로 인해 어거스트 러쉬라는 새로운 이름을 가지고 길거리에서 자신만의 천재적인 연주를 펼쳐 보이기 시작한다.\n\n이별 후 첼리스트의 길을 포기했던 라일라는 자신의 아이가 살아있음을 알게 되고 그를 찾아 뉴욕으로 향한다. 그리고 그곳에서 아이를 찾겠다는 희망으로 다시 첼로 연주를 시작한다. 한편 밴드 싱어로서의 삶을 버렸던 루이스 역시 시간이 흘러도 잊을 수 없는 운명적 사랑과 음악에의 열정을 쫓아 뉴욕으로 향한다.,3,113,1,커스틴 쉐리단
148,어메이징 스파이더맨,전세계를 사로잡은 영웅 그러나 아무도 몰랐던 그의 이야기.\n\n어릴적 사라진 부모 대신 삼촌 내외와 살고 있는 피터 파커(앤드류 가필드)는 여느 고등학생처럼 평범한 학교 생활을 하며 일상을 보내고 같은 학교 학생 그웬 스테이시(엠마 스톤)와 첫사랑에 빠져 우정과 사랑 그리고 둘 만의 비밀을 키워나간다. 그러던 어느 날 아버지가 사용했던 비밀스러운 가방을 발견하고 부모님의 실종사건에 대한 의심을 품게 된 그는 그 동안 숨겨져 왔던 과거의 비밀을 추척하게된다.\n\n아버지의 옛 동료 코너스 박사(리스 이판)의 실험실을 찾아가게 된 피터는 우연한 사고로 특별한 능력을 갖게 되고 뜻밖의 피터의 도움으로 연구를 완성한 코너스 박사는 자신의 숨겨진 자아인 악당 ‘리자드’를 탄생시킨다. 세상을 위협하는 세력앞에 피터는 그의 인생을 통째로 바꾸어 버릴 일생일대의 선택 바로 ‘스파이더맨’이라 불리우는 영웅이 되기로 결심하는데…\n\n2012년 6월 28일 스파이더맨의 숨겨진 비밀이 마침내 밝혀진다!,1,136,2,마크 웹
149,어메이징 스파이더맨 2,연습은 끝났다!\n적이 강해진 만큼 그도 강해져야만 한다!\n스파이더맨의 삶에 완전히 적응한 피터 파커(앤드류 가필드)는 거미줄로 뉴욕을 활강하며 위험에 처한 시민들을 구해주고 사랑하는 연인 그웬(엠마 스톤)과 데이트를 즐기며 행복하게 살아간다. 그러던 어느 날 스파이더맨의 열렬한 팬이자 오스코프사의 전기 엔지니어인 맥스(제이미 폭스)는 작업 중 치명적인 사고로 자신에게 엄청난 능력이 생긴 것을 발견한다. 하지만 이 능력으로 인해 뉴욕을 마비시킨 대규모 정전사태가 발생하고 사태를 해결하기 위해 나선 자신의 영웅 스파이더맨에게 공격을 당하자 배신감을 느끼고 분노한다. 여기에 해리 오스본(데인 드한)은 맥스에게 자신과 함께 스파이더맨에게 복수를 하자며 손을 내미는데…\n더욱 강력해진 적들의 등장! 진짜 전쟁은 지금부터다!,1.11,142,2,마크 웹
150,어벤져스,ASSEMBLE! 최강의 슈퍼히어로들이 모였다! 지구의 운명을 건 거대한 전쟁이 시작된다!\n\n지구의 안보가 위협당하는 위기의 상황에서 슈퍼히어로들을 불러모아 세상을 구하는 일명 [어벤져스] 작전.\n\n에너지원 ‘큐브’를 이용한 적의 등장으로 인류가 위험에 처하자 국제평화유지기구인 쉴드 (S.H.I.E.L.D)의 국장 닉 퓨리(사무엘 L.잭슨)는 [어벤져스] 작전을 위해 전 세계에 흩어져 있던 슈퍼히어로들을 찾아나선다. 아이언맨(로버트 다우니 주니어)부터 토르(크리스 헴스워스) 헐크(마크 러팔로) 캡틴 아메리카(크리스 에반스)는 물론 쉴드의 요원인 블랙 위도우(스칼렛 요한슨) 호크 아이(제레미 레너)까지 최고의 슈퍼히어로들이 [어벤져스]의 멤버로 모이게 되지만 각기 개성이 강한 이들의 만남은 예상치 못한 방향으로 흘러가는데…\n\n지구의 운명을 건 거대한 전쟁 앞에 [어벤져스] 작전은 성공할 수 있을까?,1.11,142,2,조스 웨던
151,어벤져스: 에이지 오브 울트론,어벤져스는 끝났다! 희망은 없다!\n어벤져스를 위협하는 사상 최강의 적 ‘울트론’의 등장\n인류를 멸종시키려는 거대한 음모를 가진\n‘울트론’과 거대한 전쟁이 시작된다!,1.9.11.12,141,2,조스 웨던
152,어벤져스: 엔드게임,인피니티 워 이후 절반만 살아남은 지구\n마지막 희망이 된 어벤져스\n먼저 떠난 그들을 위해 모든 것을 걸었다!\n\n위대한 어벤져스\n운명을 바꿀 최후의 전쟁이 펼쳐진다!,1.9,180,2,안소니 루소
153,어벤져스:인피니티 워,새로운 조합을 이룬 어벤져스\n역대 최강 빌런 타노스에 맞서\n세계의 운명이 걸린 인피니티 스톤을 향한\n무한 대결이 펼쳐진다!\n\n4월 마블의 클라이맥스를 목격하라!,1.9.11.12,149,2,안소니 루소
154,엔드 오브 에반게리온,미국 프랑스 등지에 있는 마기 5대가 서로 파상공격을 시작하면서 네르프에 있는 마기가 해킹당하고 있었다. 마야나 아오바가 최대한으로 방어하지만 슈퍼인공지능 컴퓨터는 마기 카피본 5대의 파상공격에는 당해내지 못하는 상황이다. 결국 네르프에서는 감금되어 있던 리츠코 박사를 다시 부른다. 리츠박사는 처음에는 자신을 감금한 것에 대해 불만을 표시하지만 결국 겐도우의 명령에 따르고 예전 사도에게 사용한 캐스퍼의 방법인 마지막 로직 코드를 변경하여 완전 몰아내기로 간신히 마기를 복구한다. 그리고 666프로텍트와 B다낭형 방벽을 세워 62시간은 막을 수 있게 조치한다.\n\n그러자 제레는 외부로부터의 해킹에 실패하자 이번에는 직접 본부 시설 점거를 시도한다. 본 자위대가 네르프를 공격하게 되고 네르프를 서포트하는 통신망과 회선 레이다가 모두 부서져 버린다. 곧 엄청난 병력의 자위대가 들이닥치게 되고 네르프 직원들은 이들의 상대가 되지 못한다. 자위대의 목적은 본부 시설과 에바 2대의 직접 점거였고 네르프는 아스카를 에바 2호기에 태워 지저 호수에 숨기지만 신지의 모습은 보이질 않는다.\n\n이런 상황에서 갑작스레 겐도우는 후유츠키에게 경어를 쓰고 후유츠키는 후유츠키대로 예전에 죽은 겐도우의 아내 유이에게 안부나 전해달라는 말을 한다.\n천신만고 끝에 신지의 행방을 알아내지만 그때는 자위대에게 살해되기 직전이었다. 미사토가 권총 한 자루로 신지를 간신히 구해내지만 그도 치명상을 입는다. 이런 상황에서도 무기력감에 빠진 신지는 움직이려 하지 않는데...,2,87,2,안노 히데아키
155,엘 시크레토: 비밀의 눈동자,아카데미와 전세계 비평가들이 인정한 2010년 최고의 사랑!\n\n25년 전 잊을 수 없는 살인사건과 말할 수 없는 사랑이 동시에 시작되었다! 벤야민 에스포지토는25년 전 목격한 젊고 아름다운 여성에 대한 강간살인 사건이 가슴깊이 새겨져 지워지지 않고 결국 이 사건에 대해 소설을 쓰기로 결심한다. 그 기억의 편린을 쫓아 사건 당시 1970년대로 거슬러 올라가자 자신의 상사이자 사랑했던 여린 이레네가 떠오르고 기억 속 사건은 또 다른 비극의 시작을 예고하는데…. 영화제 소개글. 1970년대 아르헨티나 끔찍한 강간살인 사건이 발생한다. 피해자의 남편과 여검사 검사보의 합심으로 범인은 잡혀 종신형을 받게 된다. 그러나 정부는 범인이 반정부 게릴라 소탕에 협력한다는 이유로 범인을 풀어주고 영화의 또다른 비극은 시작된다. 비극과 코미디 스릴러와 로맨스를 아우르는 뛰어난 각본과 역시 뛰어난 배우들의 숨 막히는 연기가 압권.,3,129,3,후안 호세 캄파넬라
156,슈렉,{옛날 옛적에 한 아름다운 공주가 있었습니다. 그러나 그녀에게는 오직 사랑하는 사람의 첫 키스만이 깰 수 있는 저주가 걸려 있었습니다. 그녀는 불을 뿜는 무시무시한 용이 지키는 한 성에 갇혀 있었습니다. 수많은 용감한 기사들이 그녀를 구출하려 했지만 성공하지 못했습니다. 그녀는 용이 지키는 그 성의 가장 높은 탑 꼭대기에 있는 방에서 '그녀의 사랑'과 '그의 키스'를 기다렸습니다. 히히히~ 그런 일은 절대 없을 것 같은데. 우웩 이것봐.}\n\n성 밖 늪지대에 사는 엄청나게 못생기고 무지무지 큰 괴물 슈렉. 지저분한 진흙으로 샤워를 즐기고 동화책은 화장실 휴지 삼아 쓰는 그는 혼자만의 시간을 즐긴다. 그러던 어느 날 자신만의 고요한 안식처에 백설공주 신데렐라 빗자루를 타고 다니는 마녀 피리부는 아저씨 피터팬 피노키오 등등.. 동화속의 주인공들이 모두 쳐들어온다. 그 중에서도 가장 귀찮은 건 쉴새없이 떠들어대는 당나귀 덩키. 알고보니 얼굴이 몸의 반을 차지하는 1m도 안되는 숏다리 파콰드영주가 동화속의 주인공들을 다 쫓아낸것. 결국 슈렉은 파콰드영주와 담판을 지으러 떠난다. 하지만 일은 이상하게 꼬여 결국 파콰드영주 대신 불뿜는 용의 성에 갇힌 피오나 공주를 구하러 떠나게 되는데..,2.3.12,90,1,비키 젠슨
157,슈렉 2,"더 크고 신나는 세상! ""겁나먼"" 왕국에서 펼쳐지는 끝없는 상상!\n\n꿈결같은 허니문에서 돌아온 슈렉과 피오나. 이 행복한 녹색 커플은 ""겁나먼"" 왕국의 왕과 왕비인 피오나의 부모님으로부터 초청장을 받는다. 드디어 도착한 왕국에는 모든 시민들이 기대에 부풀어 그들을 기다리고 있는데... 덜리는 맘으로 슈렉이 모습을 드러내는 순간 멋진 왕자를 기대했던 모든 이들은 기절초풍! 초록색이 되어버린 공주는 말할 것도 없이 말이다.\n\n발칵 뒤집힌 ""겁나먼"" 왕국. 이제 이 충격적인 사건을 해결하기 위해 만만치 않은 강적들이 속속 등장한다. 업계 1위의 괴물 전문 킬러 '장화신은 고양이' 퍼펙트한 외모의 왕자 '프린스 챠밍' 신비한 힘을 가진 요정 대모까지. 성가신 건 질색인 슈렉에게 터져버린 대형 사고! 또 다시 의도하지 않은 사건에 휘말린 슈렉 패밀리 앞에 상상할 수 없는 예측 불허의 모험들이 펼쳐지는데...",2,92,1,캘리 에스버리
