p_no	u_no	f_no	p_date	p_quantity
1727	181	1541	2022-05-19	5
1728	219	611	2022-05-19	3
1729	9	3681	2022-05-20	3
1730	18	2244	2022-05-20	8
1731	83	2656	2022-05-20	2
1732	116	3081	2022-05-20	5
1733	135	468	2022-05-20	7
1734	153	905	2022-05-20	2
1735	195	2132	2022-05-20	8
1736	211	942	2022-05-20	3
1737	36	3546	2022-05-21	10
1738	47	2709	2022-05-21	8
1739	76	3473	2022-05-21	10
1740	82	3540	2022-05-21	7
1741	108	2673	2022-05-21	8
1742	121	4098	2022-05-21	10
1743	126	552	2022-05-21	5
1744	128	2001	2022-05-21	3
1745	145	492	2022-05-21	3
1746	160	2003	2022-05-21	8
1747	167	855	2022-05-21	2
1748	176	1672	2022-05-21	7
1749	197	1672	2022-05-21	9
1750	199	530	2022-05-21	10
1751	211	1688	2022-05-21	2
1752	220	401	2022-05-21	3
1753	9	4236	2022-05-22	4
1754	10	4145	2022-05-22	7
1755	45	2408	2022-05-22	5
1756	50	2342	2022-05-22	4
1757	81	2583	2022-05-22	1
1758	94	3090	2022-05-22	10
1759	130	1547	2022-05-22	4
1760	142	502	2022-05-22	8
1761	145	262	2022-05-22	1
1762	157	1760	2022-05-22	7
1763	221	843	2022-05-22	2
1764	230	589	2022-05-22	3
1765	15	3320	2022-05-23	2
1766	31	3461	2022-05-23	8
1767	86	2442	2022-05-23	9
1768	105	3290	2022-05-23	2
1769	109	4119	2022-05-23	5
1770	122	2174	2022-05-23	10
1771	139	1204	2022-05-23	10
1772	143	1211	2022-05-23	1
1773	145	290	2022-05-23	10
1774	158	1848	2022-05-23	9
1775	170	785	2022-05-23	6
1776	180	1523	2022-05-23	10
1777	185	1078	2022-05-23	4
1778	188	1446	2022-05-23	5
1779	198	1731	2022-05-23	9
1780	220	2114	2022-05-23	3
1781	227	756	2022-05-23	1
1782	4	3145	2022-05-24	2
1783	4	3413	2022-05-24	2
1784	45	3269	2022-05-24	4
1785	48	3788	2022-05-24	7
1786	77	2999	2022-05-24	2
1787	80	4162	2022-05-24	6
1788	83	2648	2022-05-24	7
1789	87	2918	2022-05-24	4
1790	112	3148	2022-05-24	7
1791	168	683	2022-05-24	2
1792	180	101	2022-05-24	2
1793	208	951	2022-05-24	2
1794	211	1402	2022-05-24	8
1795	1	3887	2022-05-25	1
1796	5	4210	2022-05-25	6
1797	6	3257	2022-05-25	10
1798	13	2490	2022-05-25	9
1799	22	2224	2022-05-25	10
1800	60	2877	2022-05-25	3
1801	63	2842	2022-05-25	1
1802	66	2330	2022-05-25	2
1803	96	2699	2022-05-25	3
1804	99	4228	2022-05-25	2
1805	108	2391	2022-05-25	7
1806	120	4162	2022-05-25	8
1807	123	2212	2022-05-25	3
1808	156	651	2022-05-25	9
1809	157	918	2022-05-25	6
1810	160	1154	2022-05-25	2
1811	173	2136	2022-05-25	5
1812	174	386	2022-05-25	6
1813	175	1108	2022-05-25	1
1814	188	725	2022-05-25	2
1815	203	1661	2022-05-25	1
1816	207	1216	2022-05-25	8
1817	211	890	2022-05-25	6
1818	26	2750	2022-05-26	7
1819	38	3343	2022-05-26	8
1820	64	3657	2022-05-26	2
1821	69	4181	2022-05-26	2
1822	77	3017	2022-05-26	10
1823	97	3417	2022-05-26	2
1824	145	1369	2022-05-26	6
1825	153	1021	2022-05-26	6
1826	174	1519	2022-05-26	4
1827	181	1284	2022-05-26	7
1828	209	1655	2022-05-26	4
1829	3	4378	2022-05-27	4
1830	5	2581	2022-05-27	6
1831	23	2284	2022-05-27	5
1832	58	2397	2022-05-27	9
1833	68	3315	2022-05-27	2
1834	75	2205	2022-05-27	1
1835	97	4253	2022-05-27	8
1836	107	3351	2022-05-27	8
1837	120	3897	2022-05-27	4
1838	129	1880	2022-05-27	4
1839	139	1179	2022-05-27	7
1840	152	439	2022-05-27	6
1841	152	715	2022-05-27	4
1842	170	231	2022-05-27	10
1843	172	413	2022-05-27	9
1844	201	440	2022-05-27	2
1845	221	2126	2022-05-27	7
1846	17	3355	2022-05-28	8
1847	20	2910	2022-05-28	9
1848	26	4025	2022-05-28	1
1849	48	2427	2022-05-28	9
1850	83	3864	2022-05-28	5
1851	88	3807	2022-05-28	9
1852	97	4038	2022-05-28	1
1853	100	2517	2022-05-28	4
1854	103	3194	2022-05-28	2
1855	157	1550	2022-05-28	2
1856	220	1967	2022-05-28	2
1857	221	129	2022-05-28	5
1858	230	850	2022-05-28	5
1859	1	2770	2022-05-29	5
1860	2	2240	2022-05-29	7
1861	5	2720	2022-05-29	8
1862	82	2512	2022-05-29	6
1863	129	2129	2022-05-29	2
1864	214	30	2022-05-29	9
1865	50	3698	2022-05-30	7
1866	61	2332	2022-05-30	9
1867	89	3018	2022-05-30	2
1868	113	2560	2022-05-30	9
1869	158	1387	2022-05-30	8
1870	161	1886	2022-05-30	3
1871	195	1498	2022-05-30	4
1872	209	715	2022-05-30	10
1873	219	427	2022-05-30	8
1874	21	4327	2022-05-31	4
1875	25	2612	2022-05-31	3
1876	31	4037	2022-05-31	4
1877	56	2652	2022-05-31	10
1878	97	2760	2022-05-31	1
1879	112	3278	2022-05-31	1
1880	206	594	2022-05-31	3
1881	222	1579	2022-05-31	1
1882	228	336	2022-05-31	10
1883	13	3231	2022-06-01	1
1884	33	4357	2022-06-01	2
1885	48	3030	2022-06-01	1
1886	65	3430	2022-06-01	1
1887	70	3139	2022-06-01	10
1888	114	3241	2022-06-01	9
1889	115	3201	2022-06-01	2
1890	145	1602	2022-06-01	4
1891	151	78	2022-06-01	5
1892	156	420	2022-06-01	2
1893	185	1958	2022-06-01	8
1894	203	1695	2022-06-01	4
1895	210	663	2022-06-01	10
1896	212	1104	2022-06-01	7
1897	221	1296	2022-06-01	8
1898	7	4262	2022-06-02	3
1899	17	4190	2022-06-02	7
1900	26	3622	2022-06-02	1
1901	114	3926	2022-06-02	8
1902	121	3608	2022-06-02	4
1903	126	1749	2022-06-02	3
1904	159	271	2022-06-02	4
1905	177	1166	2022-06-02	10
1906	180	1570	2022-06-02	3
1907	211	132	2022-06-02	4
1908	231	792	2022-06-02	2
1909	38	3729	2022-06-03	4
1910	38	2919	2022-06-03	1
1911	40	2336	2022-06-03	10
1912	63	4098	2022-06-03	8
1913	91	2539	2022-06-03	1
1914	112	4020	2022-06-03	10
1915	129	2152	2022-06-03	10
1916	136	1640	2022-06-03	8
1917	186	117	2022-06-03	1
1918	213	949	2022-06-03	3
1919	217	1355	2022-06-03	2
1920	223	1549	2022-06-03	1
1921	45	3264	2022-06-04	3
1922	53	3074	2022-06-04	4
1923	65	2756	2022-06-04	2
1924	120	2867	2022-06-04	8
1925	140	1929	2022-06-04	5
1926	166	1245	2022-06-04	4
1927	202	203	2022-06-04	2
1928	215	1726	2022-06-04	3
1929	216	313	2022-06-04	6
1930	220	1260	2022-06-04	4
1931	225	1013	2022-06-04	9
1932	41	4095	2022-06-05	3
1933	42	3319	2022-06-05	3
1934	50	2547	2022-06-05	9
1935	71	3261	2022-06-05	10
1936	71	2764	2022-06-05	9
1937	89	3681	2022-06-05	2
1938	91	3118	2022-06-05	3
1939	111	2894	2022-06-05	7
1940	169	1297	2022-06-05	6
1941	172	896	2022-06-05	8
1942	212	2068	2022-06-05	8
1943	218	1390	2022-06-05	4
1944	8	3072	2022-06-06	5
1945	16	3263	2022-06-06	9
1946	32	2990	2022-06-06	2
1947	36	3530	2022-06-06	1
1948	36	2914	2022-06-06	4
1949	94	4246	2022-06-06	3
1950	111	4088	2022-06-06	1
1951	137	1482	2022-06-06	2
1952	142	937	2022-06-06	8
1953	199	1539	2022-06-06	7
1954	231	1460	2022-06-06	10
1955	232	344	2022-06-06	8
1956	69	3309	2022-06-07	5
1957	104	3037	2022-06-07	5
1958	153	940	2022-06-07	4
1959	160	60	2022-06-07	1
1960	185	181	2022-06-07	7
1961	200	972	2022-06-07	10
1962	18	3206	2022-06-08	3
1963	74	3667	2022-06-08	9
1964	90	3957	2022-06-08	7
1965	90	4314	2022-06-08	1
1966	104	3124	2022-06-08	7
1967	105	3088	2022-06-08	3
1968	127	1679	2022-06-08	2
1969	149	1752	2022-06-08	2
1970	155	1472	2022-06-08	8
1971	173	1965	2022-06-08	4
1972	188	1480	2022-06-08	7
1973	229	1648	2022-06-08	10
1974	36	3501	2022-06-09	1
1975	46	2241	2022-06-09	1
1976	59	2197	2022-06-09	3
1977	65	2531	2022-06-09	2
1978	95	2903	2022-06-09	3
1979	113	4197	2022-06-09	8
1980	138	60	2022-06-09	7
1981	147	12	2022-06-09	3
1982	176	1600	2022-06-09	1
1983	184	231	2022-06-09	9
1984	185	1571	2022-06-09	10
1985	230	1896	2022-06-09	7
1986	25	2645	2022-06-10	2
1987	38	2320	2022-06-10	3
1988	69	2492	2022-06-10	1
1989	130	487	2022-06-10	9
1990	132	575	2022-06-10	7
1991	135	2016	2022-06-10	1
1992	141	708	2022-06-10	6
1993	160	1565	2022-06-10	7
1994	173	1923	2022-06-10	3
1995	229	1249	2022-06-10	5
1996	233	1454	2022-06-10	5
1997	71	2702	2022-06-11	9
1998	87	3674	2022-06-11	7
1999	117	3107	2022-06-11	7
2000	175	1144	2022-06-11	6
2001	191	1230	2022-06-11	1
2002	9	4226	2022-06-12	8
2003	47	3184	2022-06-12	9
2004	70	3600	2022-06-12	3
2005	127	1270	2022-06-12	2
2006	130	729	2022-06-12	1
2007	134	1456	2022-06-12	6
2008	141	1763	2022-06-12	3
2009	149	461	2022-06-12	8
2010	152	1152	2022-06-12	2
2011	162	243	2022-06-12	10
2012	165	726	2022-06-12	4
2013	192	381	2022-06-12	9
2014	202	197	2022-06-12	10
2015	204	249	2022-06-12	3
2016	208	2023	2022-06-12	3
2017	222	1379	2022-06-12	4
2018	225	1615	2022-06-12	4
2019	21	3853	2022-06-13	9
2020	50	2828	2022-06-13	5
2021	89	2355	2022-06-13	5
2022	90	3657	2022-06-13	6
2023	101	2728	2022-06-13	2
2024	108	2209	2022-06-13	4
2025	113	2652	2022-06-13	1
2026	125	1022	2022-06-13	8
2027	148	1591	2022-06-13	4
2028	186	1840	2022-06-13	2
2029	191	1590	2022-06-13	10
2030	228	1021	2022-06-13	3
2031	66	3080	2022-06-14	10
2032	67	3603	2022-06-14	9
2033	91	3358	2022-06-14	3
2034	98	2407	2022-06-14	6
2035	139	1105	2022-06-14	8
2036	141	1130	2022-06-14	2
2037	158	1039	2022-06-14	7
2038	188	2148	2022-06-14	1
2039	197	1929	2022-06-14	8
2040	201	788	2022-06-14	9
2041	202	943	2022-06-14	9
2042	224	1301	2022-06-14	9
2043	83	2502	2022-06-15	8
2044	106	3923	2022-06-15	6
2045	113	2300	2022-06-15	6
2046	124	2820	2022-06-15	7
2047	133	1140	2022-06-15	1
2048	140	797	2022-06-15	7
2049	163	1779	2022-06-15	5
2050	193	2052	2022-06-15	8
2051	204	1480	2022-06-15	5
2052	214	1973	2022-06-15	2
2053	226	1290	2022-06-15	10
2054	226	786	2022-06-15	4
2055	62	2840	2022-06-16	8
2056	73	3436	2022-06-16	2
2057	75	2422	2022-06-16	8
2058	77	2830	2022-06-16	4
2059	91	4128	2022-06-16	1
2060	103	3573	2022-06-16	2
2061	155	1783	2022-06-16	10
2062	175	363	2022-06-16	2
2063	231	543	2022-06-16	2
2064	232	141	2022-06-16	5
2065	233	175	2022-06-16	4
2066	43	2380	2022-06-17	8
2067	86	3274	2022-06-17	10
2068	96	2829	2022-06-17	1
2069	121	3298	2022-06-17	7
2070	147	374	2022-06-17	6
2071	149	616	2022-06-17	7
2072	186	1273	2022-06-17	1
2073	193	1511	2022-06-17	8
2074	206	966	2022-06-17	4
2075	207	941	2022-06-17	5
2076	210	1723	2022-06-17	9
2077	210	779	2022-06-17	3
2078	6	4223	2022-06-18	1
2079	9	3420	2022-06-18	1
2080	38	3854	2022-06-18	8
2081	54	3328	2022-06-18	2
2082	70	3608	2022-06-18	8
2083	79	4093	2022-06-18	10
2084	85	2900	2022-06-18	5
2085	112	2598	2022-06-18	10
2086	164	440	2022-06-18	5
2087	168	1501	2022-06-18	3
2088	172	519	2022-06-18	5
2089	174	301	2022-06-18	1
2090	179	1447	2022-06-18	7
2091	199	797	2022-06-18	7
2092	224	1725	2022-06-18	8
2093	41	3809	2022-06-19	5
2094	65	3791	2022-06-19	1
2095	107	3042	2022-06-19	10
2096	118	4121	2022-06-19	10
2097	126	657	2022-06-19	1
2098	170	1358	2022-06-19	7
2099	174	2132	2022-06-19	8
2100	201	264	2022-06-19	7
2101	207	789	2022-06-19	2
2102	207	1567	2022-06-19	3
2103	215	573	2022-06-19	1
2104	22	3751	2022-06-20	5
2105	51	2399	2022-06-20	8
2106	71	3777	2022-06-20	3
2107	81	4234	2022-06-20	5
2108	92	3355	2022-06-20	6
2109	98	2960	2022-06-20	4
2110	106	3884	2022-06-20	2
2111	116	2993	2022-06-20	10
2112	138	1280	2022-06-20	6
2113	148	143	2022-06-20	8
2114	165	1931	2022-06-20	3
2115	167	25	2022-06-20	5
2116	193	579	2022-06-20	8
2117	37	2336	2022-06-21	2
2118	48	4165	2022-06-21	5
2119	69	2741	2022-06-21	3
2120	163	345	2022-06-21	9
2121	172	801	2022-06-21	8
2122	177	743	2022-06-21	6
2123	177	1560	2022-06-21	4
2124	201	2059	2022-06-21	3
2125	216	94	2022-06-21	8
2126	233	518	2022-06-21	5
2127	17	2184	2022-06-22	9
2128	41	2591	2022-06-22	3
2129	64	4300	2022-06-22	1
2130	84	4316	2022-06-22	7
2131	127	841	2022-06-22	8
2132	188	1935	2022-06-22	8
2133	200	136	2022-06-22	5
2134	211	557	2022-06-22	9
2135	3	3569	2022-06-23	1
2136	38	2442	2022-06-23	2
2137	53	3386	2022-06-23	6
2138	53	2179	2022-06-23	8
2139	56	3750	2022-06-23	9
2140	109	3843	2022-06-23	7
2141	128	2	2022-06-23	4
2142	144	482	2022-06-23	5
2143	153	1969	2022-06-23	5
2144	182	322	2022-06-23	8
2145	191	370	2022-06-23	4
2146	199	713	2022-06-23	3
2147	223	1105	2022-06-23	4
2148	25	3717	2022-06-24	9
2149	54	2669	2022-06-24	7
2150	59	2780	2022-06-24	6
2151	100	3489	2022-06-24	8
2152	101	3300	2022-06-24	8
2153	124	3806	2022-06-24	10
2154	138	110	2022-06-24	7
2155	140	461	2022-06-24	8
2156	181	821	2022-06-24	3
2157	199	316	2022-06-24	8
2158	205	830	2022-06-24	8
2159	208	1230	2022-06-24	10
2160	52	3886	2022-06-25	5
2161	65	4389	2022-06-25	1
2162	71	4366	2022-06-25	7
2163	105	3990	2022-06-25	10
2164	111	2934	2022-06-25	9
2165	136	588	2022-06-25	1
2166	163	80	2022-06-25	10
2167	169	186	2022-06-25	9
2168	175	1424	2022-06-25	5
2169	179	176	2022-06-25	7
2170	194	509	2022-06-25	2
2171	210	1549	2022-06-25	9
2172	218	1251	2022-06-25	7
2173	224	2152	2022-06-25	4
2174	231	780	2022-06-25	9
2175	63	3116	2022-06-26	4
2176	84	4337	2022-06-26	9
2177	93	2444	2022-06-26	2
2178	106	3187	2022-06-26	3
2179	114	2996	2022-06-26	4
2180	132	1453	2022-06-26	5
2181	153	745	2022-06-26	2
2182	176	1694	2022-06-26	4
2183	202	1178	2022-06-26	3
2184	206	1472	2022-06-26	5
2185	209	110	2022-06-26	2
2186	229	1782	2022-06-26	2
2187	232	2153	2022-06-26	5
2188	24	3980	2022-06-27	8
2189	45	4259	2022-06-27	5
2190	50	3975	2022-06-27	5
2191	50	3735	2022-06-27	8
2192	69	2769	2022-06-27	1
2193	70	3932	2022-06-27	3
2194	71	3048	2022-06-27	5
2195	86	3892	2022-06-27	4
2196	107	3491	2022-06-27	1
2197	114	2785	2022-06-27	9
2198	122	3244	2022-06-27	4
2199	173	1544	2022-06-27	4
2200	26	2492	2022-06-28	4
2201	35	2776	2022-06-28	5
2202	37	2776	2022-06-28	9
2203	60	2175	2022-06-28	1
2204	85	3979	2022-06-28	4
2205	94	2601	2022-06-28	8
2206	115	3899	2022-06-28	7
2207	161	951	2022-06-28	6
2208	167	1254	2022-06-28	10
2209	180	2006	2022-06-28	7
2210	206	377	2022-06-28	5
2211	206	367	2022-06-28	4
2212	221	211	2022-06-28	2
2213	226	709	2022-06-28	10
2214	226	997	2022-06-28	2
2215	8	3518	2022-06-29	5
2216	19	4126	2022-06-29	1
2217	57	3911	2022-06-29	4
2218	88	4239	2022-06-29	5
2219	98	4010	2022-06-29	1
2220	112	3556	2022-06-29	5
2221	126	1316	2022-06-29	10
2222	141	1116	2022-06-29	5
2223	151	1192	2022-06-29	3
2224	169	947	2022-06-29	2
2225	192	1754	2022-06-29	8
2226	193	67	2022-06-29	4
2227	196	1130	2022-06-29	10
2228	22	3804	2022-06-30	4
2229	40	2657	2022-06-30	10
2230	57	2504	2022-06-30	1
2231	78	3821	2022-06-30	8
2232	88	3058	2022-06-30	6
2233	90	4359	2022-06-30	2
2234	107	3872	2022-06-30	1
2235	116	2862	2022-06-30	3
2236	134	2068	2022-06-30	1
2237	136	574	2022-06-30	5
2238	145	502	2022-06-30	7
2239	150	778	2022-06-30	1
2240	150	1070	2022-06-30	3
2241	154	1269	2022-06-30	5
2242	170	1293	2022-06-30	9
2243	190	877	2022-06-30	9
2244	10	2709	2022-07-01	8
2245	20	3669	2022-07-01	8
2246	35	3314	2022-07-01	6
2247	63	3414	2022-07-01	1
2248	67	2603	2022-07-01	9
2249	140	2127	2022-07-01	2
2250	146	1140	2022-07-01	1
2251	150	998	2022-07-01	10
2252	155	794	2022-07-01	3
2253	186	1143	2022-07-01	10
2254	210	1808	2022-07-01	9
2255	229	978	2022-07-01	5
2256	20	3745	2022-07-02	5
2257	26	3223	2022-07-02	7
2258	33	3992	2022-07-02	10
2259	34	2861	2022-07-02	10
2260	36	3091	2022-07-02	2
2261	106	2347	2022-07-02	7
2262	109	3605	2022-07-02	8
2263	122	4128	2022-07-02	5
2264	134	1286	2022-07-02	7
2265	154	2088	2022-07-02	5
2266	166	389	2022-07-02	5
2267	188	397	2022-07-02	8
2268	195	1470	2022-07-02	6
2269	215	70	2022-07-02	10
2270	232	537	2022-07-02	4
2271	232	1398	2022-07-02	2
2272	233	643	2022-07-02	4
2273	24	3936	2022-07-03	9
2274	61	2415	2022-07-03	1
2275	117	2517	2022-07-03	6
2276	128	839	2022-07-03	5
2277	129	2119	2022-07-03	6
2278	157	191	2022-07-03	6
2279	162	314	2022-07-03	4
2280	168	715	2022-07-03	1
2281	3	3205	2022-07-04	7
2282	12	4218	2022-07-04	7
2283	16	2623	2022-07-04	9
2284	45	2485	2022-07-04	6
2285	64	4341	2022-07-04	7
2286	111	2497	2022-07-04	9
2287	153	478	2022-07-04	7
2288	206	1768	2022-07-04	4
2289	3	2224	2022-07-05	5
2290	17	2830	2022-07-05	1
2291	33	4102	2022-07-05	8
2292	36	3824	2022-07-05	5
2293	40	4110	2022-07-05	2
2294	52	2844	2022-07-05	2
2295	64	4168	2022-07-05	4
2296	92	3355	2022-07-05	4
2297	108	2301	2022-07-05	8
2298	117	3335	2022-07-05	1
2299	132	292	2022-07-05	10
2300	142	1675	2022-07-05	1
2301	165	1186	2022-07-05	5
2302	187	2135	2022-07-05	3
2303	224	249	2022-07-05	5
2304	10	4296	2022-07-06	8
2305	58	2840	2022-07-06	5
2306	88	3701	2022-07-06	5
2307	92	3284	2022-07-06	1
2308	106	2265	2022-07-06	3
2309	115	3822	2022-07-06	6
2310	121	2946	2022-07-06	2
2311	137	263	2022-07-06	3
2312	162	377	2022-07-06	3
2313	210	102	2022-07-06	9
2314	11	2984	2022-07-07	9
2315	12	2802	2022-07-07	1
2316	13	4123	2022-07-07	8
2317	57	2705	2022-07-07	4
2318	113	2518	2022-07-07	8
2319	137	448	2022-07-07	2
2320	150	1609	2022-07-07	2
2321	165	881	2022-07-07	4
2322	185	474	2022-07-07	2
2323	187	708	2022-07-07	9
2324	188	1818	2022-07-07	1
2325	208	1167	2022-07-07	1
2326	221	378	2022-07-07	6
2327	222	639	2022-07-07	9
2328	228	1447	2022-07-07	6
2329	231	700	2022-07-07	2
2330	3	4038	2022-07-08	4
2331	77	3811	2022-07-08	6
2332	87	3410	2022-07-08	1
2333	103	3570	2022-07-08	2
2334	114	3442	2022-07-08	10
2335	145	94	2022-07-08	2
2336	151	1818	2022-07-08	6
2337	156	467	2022-07-08	10
2338	158	580	2022-07-08	2
2339	179	1418	2022-07-08	7
2340	226	1707	2022-07-08	5
2341	1	3755	2022-07-09	3
2342	38	3223	2022-07-09	6
2343	59	3484	2022-07-09	1
2344	111	3605	2022-07-09	5
2345	112	2367	2022-07-09	6
2346	121	3756	2022-07-09	6
2347	139	734	2022-07-09	3
2348	154	554	2022-07-09	7
2349	177	1092	2022-07-09	10
2350	185	534	2022-07-09	3
2351	214	1530	2022-07-09	4
2352	20	4281	2022-07-10	6
2353	33	2338	2022-07-10	7
2354	68	2667	2022-07-10	9
2355	80	3111	2022-07-10	9
2356	89	4179	2022-07-10	1
2357	123	2247	2022-07-10	9
2358	157	1446	2022-07-10	7
2359	186	2029	2022-07-10	6
2360	189	234	2022-07-10	9
2361	190	348	2022-07-10	5
2362	202	1698	2022-07-10	5
2363	223	1184	2022-07-10	4
2364	226	1635	2022-07-10	3
2365	9	3573	2022-07-11	9
2366	77	3560	2022-07-11	7
2367	77	3197	2022-07-11	2
2368	107	4135	2022-07-11	7
2369	115	3031	2022-07-11	4
2370	123	3290	2022-07-11	5
2371	128	1808	2022-07-11	7
2372	141	1526	2022-07-11	4
2373	144	444	2022-07-11	2
2374	156	1219	2022-07-11	2
2375	162	44	2022-07-11	7
2376	162	196	2022-07-11	10
2377	192	103	2022-07-11	4
2378	195	315	2022-07-11	4
2379	213	1914	2022-07-11	10
2380	225	1273	2022-07-11	9
2381	6	3360	2022-07-12	9
2382	8	2876	2022-07-12	10
2383	30	4164	2022-07-12	6
2384	31	3762	2022-07-12	1
2385	33	2175	2022-07-12	9
2386	76	3083	2022-07-12	7
2387	79	2905	2022-07-12	10
2388	97	3487	2022-07-12	6
2389	98	2907	2022-07-12	2
2390	102	2826	2022-07-12	6
2391	110	3708	2022-07-12	1
2392	120	3824	2022-07-12	9
2393	124	4350	2022-07-12	1
2394	132	1973	2022-07-12	8
2395	134	945	2022-07-12	6
2396	196	1402	2022-07-12	9
2397	10	3285	2022-07-13	4
2398	33	4016	2022-07-13	8
2399	41	3757	2022-07-13	1
2400	80	2779	2022-07-13	5
2401	81	3920	2022-07-13	4
2402	103	3961	2022-07-13	10
2403	109	3093	2022-07-13	5
2404	133	1630	2022-07-13	1
2405	139	911	2022-07-13	8
2406	147	495	2022-07-13	3
2407	183	1927	2022-07-13	5
2408	226	142	2022-07-13	8
2409	233	214	2022-07-13	9
2410	110	2846	2022-07-14	10
2411	157	2023	2022-07-14	5
2412	168	1872	2022-07-14	9
2413	185	1230	2022-07-14	7
2414	225	358	2022-07-14	2
2415	7	4111	2022-07-15	3
2416	8	2389	2022-07-15	6
2417	34	2704	2022-07-15	6
2418	51	3028	2022-07-15	8
2419	75	2470	2022-07-15	6
2420	84	4307	2022-07-15	7
2421	99	3192	2022-07-15	2
2422	100	2743	2022-07-15	9
2423	131	61	2022-07-15	2
2424	165	1808	2022-07-15	1
2425	171	1933	2022-07-15	9
2426	171	1337	2022-07-15	7
2427	177	186	2022-07-15	7
2428	184	1279	2022-07-15	7
2429	198	680	2022-07-15	10
2430	211	7	2022-07-15	3
2431	217	1093	2022-07-15	9
2432	224	1169	2022-07-15	6
2433	229	323	2022-07-15	9
2434	231	1950	2022-07-15	3
2435	10	3165	2022-07-16	4
2436	15	2836	2022-07-16	3
2437	53	3932	2022-07-16	4
2438	69	2339	2022-07-16	4
2439	83	3495	2022-07-16	2
2440	86	3563	2022-07-16	5
2441	88	4014	2022-07-16	3
2442	191	888	2022-07-16	7
2443	197	1807	2022-07-16	1
2444	205	2065	2022-07-16	10
2445	225	664	2022-07-16	2
2446	58	3932	2022-07-17	4
2447	102	3998	2022-07-17	2
2448	130	1206	2022-07-17	5
2449	136	813	2022-07-17	2
2450	138	1351	2022-07-17	1
2451	152	1271	2022-07-17	10
2452	155	1177	2022-07-17	10
2453	169	217	2022-07-17	10
2454	184	947	2022-07-17	5
2455	185	795	2022-07-17	9
2456	218	832	2022-07-17	5
2457	218	70	2022-07-17	10
2458	219	189	2022-07-17	3
2459	30	4389	2022-07-18	10
2460	40	4357	2022-07-18	5
2461	46	3095	2022-07-18	1
2462	47	2369	2022-07-18	4
2463	47	3818	2022-07-18	6
2464	52	4053	2022-07-18	4
2465	128	2073	2022-07-18	10
2466	135	1133	2022-07-18	10
2467	149	1521	2022-07-18	9
2468	176	1907	2022-07-18	7
2469	181	189	2022-07-18	9
2470	190	813	2022-07-18	9
2471	216	144	2022-07-18	10
2472	224	761	2022-07-18	4
2473	15	2732	2022-07-19	6
2474	37	2387	2022-07-19	5
2475	39	3651	2022-07-19	4
2476	43	2958	2022-07-19	7
2477	48	3955	2022-07-19	4
2478	51	3339	2022-07-19	5
2479	109	3684	2022-07-19	10
2480	111	3928	2022-07-19	6
2481	112	3472	2022-07-19	10
2482	123	3264	2022-07-19	4
2483	125	1985	2022-07-19	1
2484	203	2043	2022-07-19	3
2485	205	1515	2022-07-19	2
2486	31	3419	2022-07-20	7
2487	67	4148	2022-07-20	3
2488	77	2213	2022-07-20	1
2489	81	2181	2022-07-20	3
2490	82	3651	2022-07-20	3
2491	82	4264	2022-07-20	2
2492	89	4289	2022-07-20	8
2493	103	2531	2022-07-20	10
2494	123	3181	2022-07-20	4
2495	137	1063	2022-07-20	5
2496	146	571	2022-07-20	9
2497	157	2051	2022-07-20	4
2498	192	1215	2022-07-20	6
2499	199	493	2022-07-20	8
2500	229	352	2022-07-20	6
2501	9	4089	2022-07-21	9
2502	38	2567	2022-07-21	3
2503	40	2565	2022-07-21	2
2504	41	3501	2022-07-21	4
2505	49	3682	2022-07-21	10
2506	80	2332	2022-07-21	9
2507	80	2337	2022-07-21	5
2508	99	3120	2022-07-21	9
2509	99	2408	2022-07-21	2
2510	108	2198	2022-07-21	4
2511	130	1313	2022-07-21	2
2512	149	2001	2022-07-21	5
2513	158	817	2022-07-21	9
2514	164	1080	2022-07-21	9
2515	189	2143	2022-07-21	7
2516	233	805	2022-07-21	10
2517	12	3211	2022-07-22	1
2518	35	2481	2022-07-22	4
2519	36	3106	2022-07-22	9
2520	82	3039	2022-07-22	3
2521	94	3361	2022-07-22	5
2522	134	1300	2022-07-22	9
2523	137	197	2022-07-22	1
2524	137	209	2022-07-22	10
2525	148	1783	2022-07-22	2
2526	163	881	2022-07-22	10
2527	195	684	2022-07-22	7
2528	196	1034	2022-07-22	9
2529	206	1811	2022-07-22	4
2530	208	1412	2022-07-22	10
2531	208	1233	2022-07-22	4
2532	38	3596	2022-07-23	7
2533	52	2993	2022-07-23	6
2534	58	3744	2022-07-23	9
2535	78	3294	2022-07-23	3
2536	80	3017	2022-07-23	9
2537	82	2640	2022-07-23	8
2538	88	2877	2022-07-23	1
2539	93	2656	2022-07-23	2
2540	111	4261	2022-07-23	9
2541	165	1516	2022-07-23	9
2542	165	878	2022-07-23	3
2543	166	297	2022-07-23	9
2544	173	1111	2022-07-23	10
2545	182	1759	2022-07-23	8
2546	201	1960	2022-07-23	5
2547	24	2650	2022-07-24	9
2548	66	4353	2022-07-24	2
2549	103	3408	2022-07-24	8
2550	106	2840	2022-07-24	8
2551	120	4094	2022-07-24	10
2552	142	1551	2022-07-24	1
2553	143	1127	2022-07-24	5
2554	167	1663	2022-07-24	5
2555	211	417	2022-07-24	5
2556	218	1815	2022-07-24	7
2557	33	2902	2022-07-25	3
2558	57	3574	2022-07-25	2
2559	117	3383	2022-07-25	6
2560	127	1402	2022-07-25	9
