f_no	u_no	b_no	f_amount	f_quantity
2429	138	73	23261	70
2430	138	47	9376	77
2431	138	72	5992	78
2432	138	67	9959	56
2433	138	56	21186	61
2434	138	48	20744	76
2435	138	46	7033	82
2436	138	51	6804	62
2437	138	44	10453	90
2438	138	43	16380	67
2439	138	74	6963	87
2440	138	36	10223	69
2441	139	76	9250	88
2442	139	38	10848	91
2443	139	61	14340	66
2444	139	64	22026	88
2445	139	42	9294	91
2446	139	69	5763	87
2447	139	77	12448	61
2448	139	35	15169	86
2449	139	51	9746	79
2450	139	37	16553	96
2451	139	53	6824	85
2452	139	73	14162	59
2453	139	57	14918	86
2454	139	74	24604	61
2455	139	36	15229	86
2456	139	78	8426	87
2457	139	49	10329	76
2458	139	47	9974	100
2459	140	47	15518	69
2460	140	45	9385	90
2461	140	39	11301	100
2462	140	36	22314	96
2463	140	37	20775	98
2464	140	67	11232	86
2465	140	65	10116	82
2466	140	66	22802	64
2467	140	80	9675	55
2468	140	56	23803	61
2469	140	60	18926	97
2470	140	76	9891	65
2471	140	69	17365	57
2472	140	78	22004	81
2473	140	51	20869	85
2474	141	76	5014	55
2475	141	74	19318	77
2476	141	69	24243	58
2477	141	54	13939	94
2478	141	39	23438	80
2479	141	72	21888	99
2480	141	80	15143	68
2481	141	53	14729	58
2482	141	59	23269	99
2483	141	66	17779	91
2484	141	49	15728	90
2485	141	78	19732	73
2486	141	50	6478	71
2487	141	77	20618	55
2488	141	41	18891	64
2489	141	58	21647	96
2490	142	80	21202	63
2491	142	54	13816	85
2492	142	35	19145	92
2493	142	49	22336	68
2494	142	69	6267	56
2495	142	39	11517	68
2496	142	65	20259	62
2497	142	60	12349	85
2498	142	73	10498	91
2499	142	43	14432	82
2500	142	44	21319	82
2501	142	56	8867	99
2502	142	61	12134	50
2503	142	41	21454	96
2504	142	76	11155	93
2505	142	79	10060	54
2506	142	64	5157	93
2507	143	71	13282	95
2508	143	58	15826	60
2509	143	36	22687	99
2510	143	70	10976	71
2511	143	56	24430	78
2512	143	78	17425	70
2513	143	51	10851	96
2514	143	41	18867	73
2515	143	52	15074	77
2516	143	40	16548	65
2517	143	37	5295	59
2518	143	50	8230	87
2519	143	39	9636	73
2520	143	53	10486	57
2521	143	73	11828	58
2522	143	80	17300	84
2523	143	69	11164	71
2524	143	59	8601	89
2525	143	79	6687	89
2526	143	47	11468	57
2527	143	35	24880	72
2528	143	76	16579	94
2529	144	78	12695	82
2530	144	38	11395	95
2531	144	58	18516	95
2532	144	59	9350	70
2533	144	44	15927	51
2534	144	76	6850	50
2535	144	48	9148	71
2536	144	51	16537	84
2537	144	80	20957	93
2538	144	35	13388	95
2539	144	62	5389	86
2540	144	63	21943	94
2541	144	66	15866	84
2542	144	77	14236	76
2543	144	71	21726	50
2544	144	52	20376	91
2545	144	79	8610	97
2546	144	43	7188	83
2547	144	56	20161	84
2548	144	68	24067	91
2549	144	40	11570	76
2550	145	40	21856	93
2551	145	49	15056	66
2552	145	36	9858	70
2553	145	58	7165	76
2554	145	70	16170	82
2555	145	39	23666	97
2556	145	72	17968	85
2557	145	66	22157	82
2558	145	63	18396	52
2559	145	64	13826	75
2560	145	42	20352	81
2561	145	78	10683	68
2562	145	50	9255	68
2563	145	68	13227	97
2564	145	53	21709	94
2565	145	45	10290	61
2566	145	47	23933	75
2567	145	51	8654	75
2568	145	48	17802	91
2569	145	37	5393	78
2570	145	46	16750	55
2571	145	69	20329	79
2572	145	54	19814	100
2573	146	64	16193	82
2574	146	80	6975	81
2575	146	40	23476	85
2576	146	63	24553	71
2577	146	37	19839	59
2578	146	35	22491	92
2579	146	77	14054	54
2580	146	74	24573	95
2581	146	44	12607	91
2582	146	54	12562	62
2583	146	46	22052	99
2584	146	69	14299	96
2585	146	52	12126	80
2586	146	45	10571	76
2587	146	61	24887	50
2588	146	76	8780	91
2589	146	55	10258	58
2590	146	79	14122	50
2591	146	71	14015	74
2592	146	60	10167	85
2593	146	66	9599	62
2594	146	41	6549	56
2595	146	70	17262	55
2596	147	54	23524	86
2597	147	78	13484	55
2598	147	56	17810	78
2599	147	63	12214	54
2600	147	48	11616	73
2601	147	61	16857	75
2602	147	45	6328	78
2603	147	44	16763	68
2604	147	55	5820	59
2605	147	66	10309	52
2606	147	71	10468	65
2607	147	65	10902	67
2608	147	77	8686	66
2609	147	72	14747	57
2610	147	47	23946	67
2611	147	80	6121	72
2612	147	74	5757	57
2613	148	55	13552	63
2614	148	60	14600	67
2615	148	78	18323	70
2616	148	62	16401	97
2617	148	45	10704	88
2618	148	76	12490	90
2619	148	38	6807	50
2620	148	41	6342	100
2621	148	42	12123	88
2622	148	37	16003	78
2623	148	43	17747	93
2624	148	40	15995	62
2625	148	72	22550	58
2626	148	48	14237	67
2627	148	70	16413	70
2628	148	71	24071	77
2629	148	44	11267	51
2630	148	74	21947	92
2631	148	35	14546	99
2632	148	79	14335	76
2633	148	58	12984	62
2634	148	51	15795	94
2635	148	75	17700	50
2636	149	68	8461	85
2637	149	40	6775	100
2638	149	63	24573	74
2639	149	75	22723	64
2640	149	67	5976	95
2641	149	55	10948	90
2642	149	43	24540	87
2643	149	60	24304	62
2644	149	73	14988	71
2645	149	53	11646	65
2646	149	78	16658	97
2647	149	66	6690	75
2648	149	69	20491	71
2649	149	76	22545	68
2650	149	77	12846	87
2651	149	37	8841	63
2652	149	61	22236	60
2653	149	74	22426	54
2654	149	70	17343	81
2655	149	46	5379	76
2656	149	62	10857	88
2657	149	57	7865	73
2658	150	48	11683	59
2659	150	80	12841	68
2660	150	64	16487	83
2661	150	36	19939	79
2662	150	75	7649	56
2663	150	55	5935	62
2664	150	74	7947	72
2665	150	60	13216	93
2666	150	51	14212	60
2667	150	50	9472	96
2668	150	53	14043	53
2669	150	62	11265	75
2670	150	39	21369	63
2671	150	67	19645	80
2672	150	61	8090	62
2673	150	44	7358	86
2674	150	54	14808	53
2675	150	79	6915	61
2676	150	57	15977	67
2677	150	73	7900	89
2678	150	69	12120	81
2679	151	78	13202	64
2680	151	56	12977	70
2681	151	58	5563	51
2682	151	79	7206	65
2683	151	46	23898	79
2684	151	48	11011	87
2685	151	74	16283	60
2686	151	64	23849	54
2687	151	52	12206	74
2688	151	69	12439	63
2689	151	67	14914	62
2690	151	45	9123	79
2691	151	40	23805	95
2692	151	37	9031	51
2693	151	55	23843	51
2694	152	65	19858	55
2695	152	49	8146	87
2696	152	44	24740	57
2697	152	74	22305	88
2698	152	41	15795	80
2699	152	76	23756	78
2700	152	64	20327	52
2701	152	42	18747	93
2702	152	36	16936	78
2703	152	62	12893	68
2704	152	72	22054	51
2705	152	67	17295	64
2706	152	57	16374	87
2707	152	80	18886	55
2708	152	66	22398	75
2709	152	38	8694	77
2710	152	60	9799	96
2711	152	56	5901	61
2712	152	54	14978	70
2713	152	78	8221	66
2714	152	79	18157	93
2715	152	68	8030	81
2716	153	63	19302	99
2717	153	75	13064	51
2718	153	74	14705	55
2719	153	45	18872	67
2720	153	68	20115	67
2721	153	47	7464	83
2722	153	49	22439	63
2723	153	72	20376	50
2724	153	69	24349	94
2725	153	67	8058	73
2726	153	60	16324	52
2727	153	79	13833	94
2728	153	43	10156	75
2729	153	59	5298	92
2730	153	58	24707	82
2731	153	46	6351	79
2732	153	55	20729	52
2733	153	53	16673	59
2734	153	35	9585	93
2735	153	66	24070	95
2736	153	40	24915	64
2737	153	64	9060	59
2738	154	71	6223	59
2739	154	49	5932	78
2740	154	38	18441	90
2741	154	64	18572	77
2742	154	67	15350	65
2743	154	37	19168	67
2744	154	61	21034	95
2745	154	56	14119	76
2746	154	72	15550	82
2747	154	73	13861	64
2748	154	43	22915	75
2749	154	41	15427	63
2750	154	63	15915	93
2751	154	58	17312	87
2752	154	44	9114	63
2753	154	55	13124	55
2754	154	48	5753	69
2755	154	68	21350	60
2756	154	75	8666	79
2757	154	54	20780	99
2758	154	79	15967	70
2759	154	50	5853	71
2760	154	60	22929	57
2761	154	69	9040	94
2762	154	59	15544	75
2763	154	78	10136	99
2764	154	47	20433	54
2765	155	48	24804	98
2766	155	58	5698	73
2767	155	76	7640	69
2768	155	62	13470	71
2769	155	67	7309	78
2770	155	63	13740	84
2771	155	43	24390	64
2772	155	66	23584	66
2773	155	71	7595	83
2774	155	39	19953	80
2775	155	61	8371	80
2776	155	74	24998	55
2777	155	47	12931	91
2778	155	68	8870	92
2779	155	75	21412	92
2780	155	53	16866	70
2781	155	52	7674	82
2782	155	77	11293	51
2783	155	79	16073	66
2784	155	41	8205	75
2785	155	72	23004	69
2786	155	42	22513	85
2787	155	78	24830	64
2788	156	72	6154	91
2789	156	62	21705	89
2790	156	69	5278	57
2791	156	54	15367	95
2792	156	57	22762	97
2793	156	68	24558	73
2794	156	42	12359	90
2795	156	40	15483	76
2796	156	49	12624	99
2797	156	73	20673	97
2798	156	35	6710	93
2799	156	41	10860	98
2800	156	50	7619	56
2801	156	59	15115	84
2802	156	45	20909	62
2803	156	64	20054	56
2804	156	63	15960	74
2805	157	45	5860	56
2806	157	48	13688	63
2807	157	39	24276	50
2808	157	44	23198	66
2809	157	79	10900	99
2810	157	66	18758	74
2811	157	57	15529	98
2812	157	71	17066	72
2813	157	67	6401	75
2814	157	75	5851	73
2815	157	50	20005	61
2816	157	69	22511	85
2817	157	52	16886	61
2818	157	63	10696	68
2819	157	40	23294	68
2820	157	59	13302	68
2821	157	41	11507	72
2822	157	51	10401	78
2823	157	80	9970	88
2824	158	68	9271	78
2825	158	72	6099	84
2826	158	73	12536	60
2827	158	62	15185	82
2828	158	71	13456	68
2829	158	40	10073	51
2830	158	74	20466	98
2831	158	49	9428	82
2832	158	56	7060	86
2833	158	63	15142	91
2834	158	47	24641	51
2835	158	42	18642	76
2836	158	57	6139	73
2837	158	38	12652	50
2838	158	54	17777	97
2839	158	45	14139	83
2840	158	48	19656	83
2841	158	50	6889	74
2842	158	60	20654	77
2843	158	44	15130	56
2844	159	42	23199	72
2845	159	80	9158	66
2846	159	47	14849	71
2847	159	62	10197	98
2848	159	49	5887	71
2849	159	74	16768	63
2850	159	79	11311	65
2851	159	63	8881	82
2852	159	48	20956	92
2853	159	40	5759	86
2854	159	72	8307	61
2855	159	58	19440	61
2856	159	64	9870	90
2857	159	73	17833	62
2858	159	53	21567	97
2859	159	56	18034	65
2860	159	46	19876	94
2861	159	70	23014	60
2862	159	65	13013	72
2863	160	78	22606	77
2864	160	71	22044	61
2865	160	73	20383	85
2866	160	79	21218	55
2867	160	77	12217	91
2868	160	57	15185	92
2869	160	55	22224	89
2870	160	60	13435	74
2871	160	39	7164	50
2872	160	69	17094	60
2873	160	62	14849	52
2874	160	45	11798	83
2875	160	49	5063	72
2876	160	68	9101	70
2877	160	36	5696	71
2878	160	53	21049	91
2879	160	70	6293	87
2880	160	56	22294	61
2881	160	66	12244	70
2882	160	80	20414	97
2883	160	61	23521	67
2884	160	40	9105	80
2885	160	65	13914	56
2886	160	59	15094	80
2887	160	75	15941	100
2888	160	48	20350	74
2889	160	43	20887	63
2890	161	64	18717	83
2891	161	40	24518	68
2892	161	48	15471	62
2893	161	45	13455	85
2894	161	37	13253	88
2895	161	47	22574	99
2896	161	46	20989	85
2897	161	78	17881	56
2898	161	50	24375	79
2899	161	52	15920	96
2900	161	41	6766	75
2901	161	56	18193	79
2902	161	69	13041	65
2903	161	60	22753	82
2904	161	75	10738	86
2905	161	79	17763	82
2906	161	65	7100	70
2907	161	66	10077	59
2908	161	71	20404	50
2909	161	74	15872	92
2910	161	49	22701	91
2911	162	60	6284	90
2912	162	40	8906	87
2913	162	67	6108	81
2914	162	75	23853	75
2915	162	62	17969	82
2916	162	36	19009	57
2917	162	37	24577	78
2918	162	66	13403	95
2919	162	42	15918	61
2920	162	53	10100	79
2921	162	79	17100	85
2922	162	52	13662	95
2923	162	61	17417	83
2924	163	60	16101	51
2925	163	54	10735	69
2926	163	38	17287	51
2927	163	73	12956	91
2928	163	53	19536	51
2929	163	45	15233	92
2930	163	69	14897	53
2931	163	35	24051	61
2932	163	70	15543	80
2933	163	41	20983	55
2934	163	58	20563	51
2935	163	49	10885	87
2936	163	71	14144	66
2937	163	44	20883	51
2938	163	43	20217	92
2939	163	66	6994	62
2940	163	52	9282	91
2941	163	75	18515	99
2942	163	61	13169	90
2943	163	80	19258	57
2944	163	46	12596	57
2945	164	59	9476	66
2946	164	58	23057	88
2947	164	35	16499	82
2948	164	56	14774	52
2949	164	78	20333	74
2950	164	37	12158	54
2951	164	54	6893	82
2952	164	39	17117	66
2953	164	64	9499	55
2954	164	44	18954	75
2955	164	79	22481	96
2956	164	55	5617	67
2957	164	77	22768	96
2958	164	42	17369	90
2959	164	65	22005	77
2960	164	40	21760	87
2961	165	35	21268	82
2962	165	77	10158	72
2963	165	54	14595	66
2964	165	73	24472	76
2965	165	42	9555	85
2966	165	46	23359	51
2967	165	41	22460	77
2968	165	43	17695	82
2969	165	59	24893	93
2970	165	68	14040	83
2971	165	57	20157	86
2972	165	45	16800	65
2973	165	36	20561	52
2974	165	38	21865	55
2975	165	50	10816	73
2976	165	71	13137	96
2977	165	48	16164	86
2978	165	80	7877	80
2979	165	67	24917	100
2980	165	74	10408	56
2981	165	72	23272	73
2982	165	44	22884	90
2983	165	65	23481	80
2984	166	37	16082	50
2985	166	71	12057	100
2986	166	56	5525	95
2987	166	57	12959	54
2988	166	78	20014	54
2989	166	69	20207	64
2990	166	61	8535	86
2991	166	73	15599	61
2992	166	59	16569	57
2993	166	60	14084	64
2994	166	43	21741	98
2995	166	47	16041	78
2996	166	67	20613	51
2997	166	62	5822	72
2998	166	53	8361	83
2999	166	42	20962	67
3000	166	38	23925	85
3001	166	75	20765	85
3002	166	48	8103	76
3003	166	80	22336	78
3004	166	55	21391	65
3005	167	73	15135	80
3006	167	44	24890	56
3007	167	35	5200	86
3008	167	66	6814	70
3009	167	54	14026	95
3010	167	48	16562	71
3011	167	51	11227	54
3012	167	53	6070	97
3013	167	57	10835	69
3014	167	55	17552	58
3015	167	45	23291	69
3016	167	68	9150	76
3017	167	78	9010	90
3018	167	40	8286	95
3019	167	64	14761	94
3020	167	71	23670	74
3021	167	37	9918	53
3022	167	75	8685	79
3023	167	72	6747	88
3024	167	56	16962	80
3025	168	80	19587	91
3026	168	54	15047	71
3027	168	69	20503	72
3028	168	52	14170	63
3029	168	79	12597	76
3030	168	41	18179	69
3031	168	36	8546	93
3032	168	44	5249	81
3033	168	53	7357	64
3034	168	56	7781	51
3035	168	37	18333	69
3036	168	48	8186	76
3037	168	75	11639	98
3038	168	38	23443	80
3039	169	67	14399	52
3040	169	36	13009	89
3041	169	47	21450	52
3042	169	62	23219	65
3043	169	41	19174	73
3044	169	65	16730	53
3045	169	80	10712	99
3046	169	53	14884	96
3047	169	61	7310	56
3048	169	73	14635	91
3049	169	46	8908	56
3050	169	37	18731	70
3051	169	63	20975	93
3052	169	44	9439	80
3053	169	60	21204	57
3054	169	51	12624	65
3055	169	35	18373	99
3056	169	69	18859	54
3057	169	55	13591	60
3058	169	75	19121	76
3059	169	59	10831	72
3060	169	77	23117	67
3061	169	54	13868	90
3062	169	43	15648	100
3063	169	68	15634	97
3064	170	62	10195	62
3065	170	40	7000	53
3066	170	42	5266	79
3067	170	45	9740	92
3068	170	49	10247	50
3069	170	55	18185	97
3070	170	63	5573	89
3071	170	47	18202	52
3072	170	79	22739	73
3073	170	80	8855	84
3074	170	60	5806	67
3075	170	36	18374	94
3076	170	46	15512	76
3077	170	71	18265	89
3078	170	54	19651	83
3079	170	52	8768	81
3080	170	76	7089	87
3081	170	67	16375	61
3082	170	39	22278	91
3083	171	68	13225	52
3084	171	79	8846	61
3085	171	51	15977	64
3086	171	76	20346	79
3087	171	71	7377	99
3088	171	67	7928	61
3089	171	53	11835	60
3090	171	49	19599	62
3091	171	77	8043	88
3092	171	69	21993	53
3093	171	56	8781	69
3094	171	55	9371	100
3095	171	54	14713	65
3096	171	48	22958	54
3097	171	64	12520	54
3098	171	36	6807	75
3099	171	46	6865	74
3100	171	66	9086	55
3101	171	42	19816	60
3102	171	44	16014	76
3103	171	35	17272	59
3104	171	62	12993	90
3105	172	37	6626	52
3106	172	71	5934	56
3107	172	55	17136	58
3108	172	77	24847	56
3109	172	56	22701	74
3110	172	67	10351	69
3111	172	51	15122	81
3112	172	58	12358	69
3113	172	65	9821	78
3114	172	53	8490	65
3115	172	61	17197	80
3116	172	80	20724	58
3117	172	41	24090	97
3118	172	63	7962	68
3119	172	66	19986	95
3120	172	48	20327	95
3121	172	70	5774	63
3122	172	50	13280	72
3123	172	68	6280	63
3124	172	45	11440	65
3125	172	76	5381	98
3126	173	80	15311	83
3127	173	56	14250	88
3128	173	57	9568	64
3129	173	36	8108	76
3130	173	39	22988	61
3131	173	77	10947	92
3132	173	72	23491	67
3133	173	66	17194	76
3134	173	59	22731	74
3135	173	38	9303	96
3136	173	64	9994	91
3137	173	53	5684	98
3138	173	46	7711	52
3139	173	52	8257	67
3140	173	54	5702	95
3141	173	63	16000	82
3142	173	71	8781	73
3143	173	60	12651	65
3144	173	43	6085	81
3145	173	76	12033	58
3146	173	73	5614	96
3147	174	58	8495	69
3148	174	78	12527	72
3149	174	38	5784	55
3150	174	72	13984	100
3151	174	73	24958	59
3152	174	39	20165	93
3153	174	61	10643	71
3154	174	36	13187	66
3155	174	49	10710	70
3156	174	48	20726	72
3157	174	47	5694	71
3158	174	55	11884	77
3159	174	40	5661	61
3160	174	41	6962	79
3161	174	35	20540	80
3162	174	56	6838	87
3163	174	50	6370	76
3164	174	64	16794	77
3165	174	71	21168	99
3166	174	52	22234	86
3167	174	69	12985	88
3168	174	37	24914	61
3169	175	49	16472	77
3170	175	62	22035	50
3171	175	78	23309	73
3172	175	47	9754	91
3173	175	77	10176	67
3174	175	36	21727	66
3175	175	42	16981	60
3176	175	44	22811	78
3177	175	68	8658	97
3178	175	60	11334	93
3179	175	54	11038	58
3180	175	79	7669	89
3181	175	71	16521	71
3182	175	43	17120	93
3183	175	48	11542	76
3184	175	73	12634	54
3185	175	74	11297	54
3186	175	46	9589	99
3187	175	35	15599	54
3188	175	65	18320	52
3189	175	66	16081	58
3190	175	53	10008	99
3191	176	75	22010	75
3192	176	49	24978	90
3193	176	66	16599	86
3194	176	52	17309	94
3195	176	57	24675	53
3196	176	65	14572	56
3197	176	53	15809	85
3198	176	70	7590	88
3199	176	80	17851	79
3200	176	58	21805	57
3201	176	55	23277	66
3202	176	54	18232	75
3203	176	71	22212	93
3204	176	60	8811	63
3205	176	51	17720	69
3206	176	77	23169	60
3207	176	35	22385	70
3208	176	74	6220	70
3209	176	44	23491	90
3210	176	61	8519	96
3211	176	42	9991	54
3212	176	56	19989	53
3213	176	68	8628	52
3214	176	45	18136	56
3215	176	41	21485	70
3216	177	44	21323	84
3217	177	66	21184	62
3218	177	54	18119	69
3219	177	62	15404	75
3220	177	75	6460	55
3221	177	38	7514	82
3222	177	57	6435	75
3223	177	42	12341	86
3224	177	40	22137	94
3225	177	43	18482	76
3226	177	71	6189	82
3227	177	53	24436	61
3228	177	58	20202	68
3229	177	78	14399	82
3230	177	63	20721	76
3231	177	36	10759	61
3232	177	56	24635	84
3233	177	61	21670	100
3234	177	59	19754	97
3235	177	80	15199	97
3236	178	39	8758	78
3237	178	45	12853	84
3238	178	60	11004	54
3239	178	53	15602	74
3240	178	69	20361	86
3241	178	76	24105	94
3242	178	70	12490	81
3243	178	65	8054	52
3244	178	57	13891	84
3245	178	62	9912	90
3246	178	79	9514	54
3247	178	78	15027	78
3248	178	73	12865	96
3249	178	80	19905	72
3250	178	43	21972	63
3251	178	37	20626	62
3252	178	71	18000	59
3253	178	75	5327	69
3254	178	54	14241	57
3255	178	68	24391	55
3256	178	38	23664	87
3257	178	49	22552	57
3258	178	36	15493	95
3259	179	53	10791	96
3260	179	68	7522	100
3261	179	77	14216	86
3262	179	66	21658	68
3263	179	57	12263	65
3264	179	46	13771	95
3265	179	56	6497	87
3266	179	39	10726	73
3267	179	49	19230	99
3268	179	67	5257	56
3269	179	58	9797	83
3270	179	47	20606	96
3271	179	74	9871	60
3272	179	80	10572	74
3273	179	71	14429	54
3274	179	35	6333	51
3275	179	37	19294	78
3276	179	48	19612	91
3277	179	54	22169	57
3278	179	63	5047	60
3279	179	62	8225	91
3280	179	64	6416	95
3281	180	41	22634	63
3282	180	66	15392	65
3283	180	63	19201	60
3284	180	54	20573	91
3285	180	40	23498	51
3286	180	52	20441	86
3287	180	70	7418	78
3288	180	44	12333	71
3289	180	69	10259	74
3290	180	49	17233	70
3291	180	80	12032	81
3292	180	46	24931	97
3293	180	57	15108	81
3294	180	56	19834	52
3295	180	73	17912	80
3296	180	72	10002	53
3297	180	62	9326	77
3298	180	68	7954	83
3299	181	52	20105	98
3300	181	80	15172	94
3301	181	71	20956	73
3302	181	62	18210	86
3303	181	42	21200	96
3304	181	58	17935	60
3305	181	59	23897	55
3306	181	69	10082	56
3307	181	54	16569	56
3308	181	38	13726	64
3309	181	51	14274	98
3310	181	45	22219	56
3311	181	74	15382	65
3312	181	46	9685	82
3313	181	44	12193	54
3314	181	63	20444	56
3315	181	56	20181	59
3316	181	77	19032	61
3317	181	65	15105	59
3318	181	72	16001	54
3319	182	42	23782	61
3320	182	44	21567	79
3321	182	76	13868	64
3322	182	79	6575	96
3323	182	49	13372	75
3324	182	63	5537	84
3325	182	70	8519	73
3326	182	73	19112	61
3327	182	65	8933	56
3328	182	74	18848	89
3329	182	60	22875	76
3330	182	40	24590	98
3331	182	51	22365	97
3332	182	69	18039	79
3333	182	52	14885	74
3334	182	54	14930	71
3335	182	55	8974	77
3336	183	76	10768	64
3337	183	64	23956	80
3338	183	40	11824	63
3339	183	60	22203	89
3340	183	53	24719	63
3341	183	70	17730	74
3342	183	52	14272	61
3343	183	72	16094	74
3344	183	50	17081	83
3345	183	48	23522	72
3346	183	80	18574	55
3347	183	47	8425	50
3348	183	46	18306	97
3349	183	77	6143	65
3350	183	65	11642	72
3351	183	56	17594	62
3352	183	62	18678	58
3353	183	63	16455	69
3354	183	37	13407	68
3355	183	73	22564	97
3356	183	57	24425	86
3357	183	78	17556	94
3358	183	36	18264	95
3359	184	51	23949	74
3360	184	75	12129	91
3361	184	50	23515	63
3362	184	43	24339	67
3363	184	60	20086	79
3364	184	74	11651	61
3365	184	79	21029	60
3366	184	44	13923	63
3367	184	54	24066	63
3368	184	61	9864	88
3369	184	80	21369	64
3370	184	72	13056	59
3371	184	37	17575	74
3372	184	49	11642	72
3373	184	68	24538	59
3374	184	47	20754	81
3375	184	64	12407	53
3376	184	36	9190	82
3377	184	45	22604	96
3378	185	69	15672	56
3379	185	55	12286	79
3380	185	42	24400	55
3381	185	70	13393	98
3382	185	78	22172	100
3383	185	40	5177	67
3384	185	54	17437	56
3385	185	41	8783	99
3386	185	43	11215	97
3387	185	75	7633	51
3388	185	76	15765	92
3389	185	49	7389	69
3390	185	79	5382	63
3391	185	36	10628	79
3392	185	60	5568	54
3393	185	38	8396	86
3394	185	58	11107	65
3395	185	61	21270	54
3396	186	56	23336	99
3397	186	75	23074	76
3398	186	68	9229	68
3399	186	36	18239	96
3400	186	70	13471	82
3401	186	42	12225	65
3402	186	67	21921	98
3403	186	54	13479	92
3404	186	59	9983	64
3405	186	64	8927	73
3406	186	66	6458	56
3407	186	61	24942	56
3408	186	55	5339	97
3409	186	69	12028	71
3410	186	71	21020	91
3411	186	79	17765	73
3412	186	35	15308	59
3413	186	48	10548	60
3414	187	77	13961	63
3415	187	47	6664	61
3416	187	65	7887	83
3417	187	60	14615	82
3418	187	67	23657	76
3419	187	74	6160	96
3420	187	70	15804	60
3421	187	54	14605	68
3422	187	46	13858	73
3423	187	72	7582	79
3424	187	49	11440	85
3425	187	53	11093	56
3426	187	51	10225	52
3427	187	71	10093	56
3428	187	76	17540	96
3429	187	42	10978	71
3430	187	37	11228	86
3431	187	43	5519	86
3432	187	75	19015	78
3433	187	36	16427	54
3434	187	39	7244	79
3435	187	64	11829	61
3436	188	42	13780	90
3437	188	63	12143	84
3438	188	50	22682	93
3439	188	45	5139	90
3440	188	37	24041	78
3441	188	75	14415	59
3442	188	65	9783	100
3443	188	35	18307	96
3444	188	73	16686	67
3445	188	79	13314	93
3446	188	39	19148	91
3447	188	36	13113	86
3448	188	74	5917	94
3449	188	60	16718	50
3450	188	55	16925	94
3451	188	43	18380	94
3452	188	51	20490	83
3453	188	44	19362	91
3454	188	56	17916	53
3455	188	53	17057	96
3456	188	58	17836	81
3457	189	62	18462	58
3458	189	44	14507	72
3459	189	43	16605	55
3460	189	56	22256	62
3461	189	72	22795	51
3462	189	75	18358	96
3463	189	63	16955	53
3464	189	51	13270	99
3465	189	61	16698	100
3466	189	65	21986	58
3467	189	49	8438	67
3468	189	53	16477	99
3469	189	58	17305	81
3470	189	59	22025	71
3471	189	36	6645	82
3472	189	77	14381	92
3473	189	55	22733	62
3474	189	69	18172	84
3475	189	80	9986	95
3476	190	52	11664	66
3477	190	70	21304	95
3478	190	59	19602	60
3479	190	42	17527	58
3480	190	40	22594	84
3481	190	47	21972	78
3482	190	76	9848	52
3483	190	77	15140	91
3484	190	36	18077	91
3485	190	71	24522	62
3486	190	68	10768	76
3487	190	62	15290	54
3488	190	67	5888	57
3489	190	69	7052	75
3490	190	41	7802	67
3491	190	37	23608	87
3492	190	61	21561	66
3493	190	63	13901	74
3494	190	60	7653	100
3495	191	66	22818	82
3496	191	56	16875	91
3497	191	61	12845	64
3498	191	57	20691	75
3499	191	60	21293	82
3500	191	54	10218	71
3501	191	62	6992	55
3502	191	45	20061	52
3503	191	55	16136	98
3504	191	51	19158	60
3505	191	67	24245	62
3506	191	37	23999	71
3507	191	72	21257	77
3508	191	59	13721	65
3509	191	68	6816	78
3510	191	46	13330	71
3511	192	37	19866	85
3512	192	51	24165	85
3513	192	55	20468	60
3514	192	42	18093	55
3515	192	60	23322	84
3516	192	47	18425	64
3517	192	76	21242	53
3518	192	61	21325	72
3519	192	59	21937	65
3520	192	65	21468	85
3521	192	56	16178	68
3522	192	50	23037	99
3523	192	52	23158	78
3524	192	53	12710	50
3525	192	44	21177	62
3526	192	40	14951	59
3527	192	80	17578	68
3528	192	72	5817	93
3529	192	75	11016	81
3530	193	53	23919	67
3531	193	37	23245	88
3532	193	51	12743	69
3533	193	71	21913	68
3534	193	79	16576	54
3535	193	69	9397	81
3536	193	78	16462	55
3537	193	61	10615	82
3538	193	62	21079	73
3539	193	54	15971	70
3540	193	46	23649	91
3541	193	64	23658	51
3542	193	63	8179	89
3543	193	70	18857	91
3544	193	52	21220	78
3545	193	80	22329	75
3546	193	43	19412	90
3547	193	48	15402	51
3548	193	65	16131	57
3549	193	59	10290	54
3550	194	46	18268	99
3551	194	70	16836	96
3552	194	37	13983	82
3553	194	50	16714	97
3554	194	78	16131	78
3555	194	59	15175	90
3556	194	63	18402	69
3557	194	45	24436	55
3558	194	48	13131	83
3559	194	69	11955	68
3560	194	64	23354	72
3561	194	36	15118	73
3562	194	58	18905	68
3563	194	75	22310	68
3564	194	55	11177	79
3565	194	54	21806	100
3566	194	56	11192	62
3567	194	38	20634	81
3568	194	79	23515	74
3569	194	62	8412	72
3570	194	44	5753	60
3571	194	61	16301	61
3572	195	80	14090	54
3573	195	77	13870	96
3574	195	78	22444	86
3575	195	43	14411	79
3576	195	66	7906	70
3577	195	51	9408	69
3578	195	37	17840	62
3579	195	40	15357	63
3580	195	39	7001	58
3581	195	79	6683	92
3582	195	75	23955	73
3583	195	48	8064	96
3584	195	44	18266	59
3585	195	62	6912	100
3586	195	71	13916	61
3587	195	56	5141	56
3588	195	72	19079	62
3589	195	50	12825	79
3590	195	38	18412	94
3591	195	52	19971	89
3592	196	46	5887	55
