s_no	u_no	f_no	s_date	s_quantity
1726	87	3508	2022-06-03	1
1727	94	3840	2022-06-03	2
1728	100	4228	2022-06-03	7
1729	101	4014	2022-06-03	10
1730	105	2436	2022-06-03	7
1731	172	199	2022-06-03	2
1732	194	1075	2022-06-03	5
1733	223	1890	2022-06-03	10
1734	225	1295	2022-06-03	9
1735	29	4330	2022-06-04	8
1736	36	4061	2022-06-04	8
1737	66	3703	2022-06-04	7
1738	70	2407	2022-06-04	2
1739	106	2451	2022-06-04	5
1740	109	3237	2022-06-04	6
1741	163	928	2022-06-04	3
1742	165	724	2022-06-04	5
1743	167	579	2022-06-04	8
1744	181	360	2022-06-04	4
1745	185	1938	2022-06-04	1
1746	186	1919	2022-06-04	1
1747	205	1332	2022-06-04	9
1748	30	2208	2022-06-05	7
1749	69	3034	2022-06-05	7
1750	87	2772	2022-06-05	1
1751	115	3834	2022-06-05	6
1752	131	310	2022-06-05	6
1753	136	875	2022-06-05	6
1754	150	833	2022-06-05	2
1755	163	652	2022-06-05	10
1756	167	48	2022-06-05	2
1757	170	1077	2022-06-05	4
1758	175	730	2022-06-05	6
1759	6	4317	2022-06-06	2
1760	20	2291	2022-06-06	5
1761	23	3211	2022-06-06	3
1762	36	2239	2022-06-06	6
1763	38	2586	2022-06-06	10
1764	140	868	2022-06-06	3
1765	164	1749	2022-06-06	2
1766	172	1790	2022-06-06	7
1767	202	1678	2022-06-06	10
1768	45	2811	2022-06-07	2
1769	48	4296	2022-06-07	8
1770	50	3217	2022-06-07	5
1771	60	4371	2022-06-07	6
1772	124	4127	2022-06-07	3
1773	138	113	2022-06-07	10
1774	149	2023	2022-06-07	9
1775	152	1974	2022-06-07	1
1776	158	1421	2022-06-07	9
1777	168	591	2022-06-07	5
1778	170	871	2022-06-07	9
1779	182	1047	2022-06-07	2
1780	196	543	2022-06-07	6
1781	199	1744	2022-06-07	5
1782	207	1910	2022-06-07	8
1783	211	1006	2022-06-07	7
1784	221	1192	2022-06-07	9
1785	29	2875	2022-06-08	5
1786	30	3279	2022-06-08	9
1787	64	3361	2022-06-08	6
1788	66	2823	2022-06-08	7
1789	69	3481	2022-06-08	10
1790	92	3882	2022-06-08	9
1791	118	2775	2022-06-08	7
1792	124	2627	2022-06-08	6
1793	137	1826	2022-06-08	7
1794	174	4	2022-06-08	7
1795	179	1985	2022-06-08	5
1796	197	1090	2022-06-08	7
1797	208	983	2022-06-08	2
1798	223	69	2022-06-08	4
1799	20	3527	2022-06-09	5
1800	38	3532	2022-06-09	1
1801	48	3581	2022-06-09	8
1802	60	2966	2022-06-09	7
1803	71	4212	2022-06-09	1
1804	113	3869	2022-06-09	3
1805	119	3152	2022-06-09	10
1806	134	1282	2022-06-09	8
1807	150	1970	2022-06-09	10
1808	154	803	2022-06-09	2
1809	164	1891	2022-06-09	5
1810	194	1311	2022-06-09	9
1811	9	2167	2022-06-10	7
1812	9	2331	2022-06-10	1
1813	25	2234	2022-06-10	8
1814	42	3193	2022-06-10	1
1815	56	3183	2022-06-10	8
1816	85	2965	2022-06-10	9
1817	89	2371	2022-06-10	2
1818	91	3371	2022-06-10	1
1819	94	3038	2022-06-10	3
1820	121	2485	2022-06-10	3
1821	144	630	2022-06-10	4
1822	176	2132	2022-06-10	3
1823	181	712	2022-06-10	3
1824	185	1102	2022-06-10	7
1825	195	2090	2022-06-10	5
1826	217	388	2022-06-10	3
1827	28	2947	2022-06-11	4
1828	44	3134	2022-06-11	5
1829	78	3314	2022-06-11	5
1830	97	2787	2022-06-11	6
1831	118	3830	2022-06-11	9
1832	161	877	2022-06-11	7
1833	169	1911	2022-06-11	9
1834	205	744	2022-06-11	1
1835	213	176	2022-06-11	6
1836	25	2387	2022-06-12	9
1837	38	4381	2022-06-12	3
1838	42	3299	2022-06-12	6
1839	61	2793	2022-06-12	10
1840	95	3473	2022-06-12	5
1841	121	2711	2022-06-12	7
1842	165	348	2022-06-12	8
1843	177	874	2022-06-12	10
1844	9	2866	2022-06-13	8
1845	58	2263	2022-06-13	10
1846	112	2539	2022-06-13	8
1847	118	4030	2022-06-13	7
1848	128	2013	2022-06-13	4
1849	139	852	2022-06-13	7
1850	152	515	2022-06-13	7
1851	156	441	2022-06-13	3
1852	172	1145	2022-06-13	4
1853	175	1860	2022-06-13	8
1854	204	1068	2022-06-13	10
1855	226	274	2022-06-13	4
1856	13	2226	2022-06-14	8
1857	22	2526	2022-06-14	3
1858	37	2589	2022-06-14	9
1859	39	4326	2022-06-14	6
1860	44	3568	2022-06-14	6
1861	52	4125	2022-06-14	3
1862	52	3352	2022-06-14	1
1863	77	2976	2022-06-14	10
1864	89	3435	2022-06-14	2
1865	103	3574	2022-06-14	8
1866	157	2103	2022-06-14	6
1867	171	133	2022-06-14	9
1868	179	885	2022-06-14	10
1869	186	1124	2022-06-14	5
1870	206	503	2022-06-14	10
1871	225	1405	2022-06-14	10
1872	52	4078	2022-06-15	10
1873	96	3886	2022-06-15	9
1874	111	2888	2022-06-15	5
1875	147	1786	2022-06-15	10
1876	162	131	2022-06-15	6
1877	210	913	2022-06-15	5
1878	1	2835	2022-06-16	8
1879	56	3354	2022-06-16	2
1880	88	3911	2022-06-16	9
1881	94	4272	2022-06-16	3
1882	120	4037	2022-06-16	6
1883	121	3699	2022-06-16	1
1884	155	1743	2022-06-16	7
1885	181	1215	2022-06-16	1
1886	210	486	2022-06-16	8
1887	226	1553	2022-06-16	8
1888	233	780	2022-06-16	6
1889	10	3669	2022-06-17	10
1890	30	2568	2022-06-17	10
1891	69	4359	2022-06-17	4
1892	81	4332	2022-06-17	4
1893	94	4074	2022-06-17	4
1894	111	3767	2022-06-17	1
1895	218	1532	2022-06-17	9
1896	9	2673	2022-06-18	8
1897	11	2755	2022-06-18	6
1898	59	4039	2022-06-18	10
1899	86	3455	2022-06-18	7
1900	202	889	2022-06-18	6
1901	232	179	2022-06-18	4
1902	16	3167	2022-06-19	9
1903	38	3536	2022-06-19	5
1904	59	3049	2022-06-19	2
1905	81	3897	2022-06-19	8
1906	129	1904	2022-06-19	6
1907	153	1398	2022-06-19	1
1908	184	1433	2022-06-19	2
1909	195	673	2022-06-19	2
1910	202	1520	2022-06-19	6
1911	225	1798	2022-06-19	9
1912	228	198	2022-06-19	8
1913	229	1278	2022-06-19	2
1914	229	1952	2022-06-19	2
1915	231	684	2022-06-19	1
1916	28	2552	2022-06-20	4
1917	130	1185	2022-06-20	2
1918	145	350	2022-06-20	7
1919	213	1962	2022-06-20	10
1920	214	263	2022-06-20	5
1921	6	3844	2022-06-21	9
1922	22	3618	2022-06-21	6
1923	38	2477	2022-06-21	7
1924	45	4049	2022-06-21	10
1925	91	2277	2022-06-21	8
1926	95	3971	2022-06-21	7
1927	213	2113	2022-06-21	1
1928	22	4164	2022-06-22	9
1929	32	3649	2022-06-22	5
1930	35	2617	2022-06-22	6
1931	42	3393	2022-06-22	7
1932	49	3086	2022-06-22	2
1933	90	2565	2022-06-22	10
1934	96	2658	2022-06-22	9
1935	96	3190	2022-06-22	10
1936	106	3213	2022-06-22	9
1937	155	1161	2022-06-22	9
1938	163	1913	2022-06-22	8
1939	185	877	2022-06-22	3
1940	192	131	2022-06-22	8
1941	214	1768	2022-06-22	9
1942	15	2190	2022-06-23	4
1943	72	3493	2022-06-23	1
1944	91	2883	2022-06-23	3
1945	189	1904	2022-06-23	8
1946	11	3057	2022-06-24	2
1947	19	2906	2022-06-24	7
1948	37	3913	2022-06-24	5
1949	141	1817	2022-06-24	7
1950	154	806	2022-06-24	10
1951	168	1756	2022-06-24	10
1952	169	404	2022-06-24	9
1953	193	165	2022-06-24	1
1954	194	932	2022-06-24	1
1955	216	837	2022-06-24	9
1956	66	3419	2022-06-25	9
1957	161	1102	2022-06-25	10
1958	176	1458	2022-06-25	10
1959	1	2456	2022-06-26	9
1960	82	2730	2022-06-26	10
1961	83	3859	2022-06-26	9
1962	87	2692	2022-06-26	6
1963	105	3303	2022-06-26	9
1964	121	4119	2022-06-26	3
1965	136	2037	2022-06-26	9
1966	158	1873	2022-06-26	1
1967	172	1728	2022-06-26	8
1968	175	1441	2022-06-26	6
1969	195	91	2022-06-26	10
1970	9	2794	2022-06-27	3
1971	33	2334	2022-06-27	9
1972	34	3573	2022-06-27	5
1973	79	4088	2022-06-27	8
1974	79	4156	2022-06-27	8
1975	122	3200	2022-06-27	10
1976	168	226	2022-06-27	7
1977	172	762	2022-06-27	4
1978	176	313	2022-06-27	3
1979	197	635	2022-06-27	3
1980	204	1473	2022-06-27	7
1981	224	62	2022-06-27	8
1982	233	1128	2022-06-27	3
1983	65	2823	2022-06-28	5
1984	96	2856	2022-06-28	6
1985	100	3723	2022-06-28	7
1986	140	1101	2022-06-28	10
1987	148	52	2022-06-28	8
1988	165	1689	2022-06-28	4
1989	166	1163	2022-06-28	4
1990	226	1921	2022-06-28	1
1991	5	2967	2022-06-29	5
1992	17	3403	2022-06-29	10
1993	39	2663	2022-06-29	9
1994	48	3339	2022-06-29	6
1995	78	2419	2022-06-29	10
1996	99	2553	2022-06-29	10
1997	124	3596	2022-06-29	10
1998	142	852	2022-06-29	6
1999	178	274	2022-06-29	1
2000	11	3910	2022-06-30	7
2001	21	2545	2022-06-30	2
2002	25	3853	2022-06-30	10
2003	49	2387	2022-06-30	1
2004	50	3737	2022-06-30	10
2005	92	2542	2022-06-30	1
2006	101	3324	2022-06-30	3
2007	177	727	2022-06-30	4
2008	20	4318	2022-07-01	1
2009	66	4152	2022-07-01	5
2010	73	3544	2022-07-01	9
2011	81	3411	2022-07-01	7
2012	89	2884	2022-07-01	7
2013	98	3994	2022-07-01	1
2014	112	3066	2022-07-01	1
2015	113	3419	2022-07-01	7
2016	123	4167	2022-07-01	8
2017	129	1041	2022-07-01	6
2018	144	1781	2022-07-01	5
2019	161	810	2022-07-01	10
2020	166	1466	2022-07-01	8
2021	204	866	2022-07-01	4
2022	210	459	2022-07-01	10
2023	223	130	2022-07-01	3
2024	2	3895	2022-07-02	1
2025	18	2490	2022-07-02	1
2026	36	2220	2022-07-02	8
2027	52	2455	2022-07-02	6
2028	67	2191	2022-07-02	9
2029	112	4104	2022-07-02	5
2030	151	28	2022-07-02	9
2031	192	294	2022-07-02	1
2032	201	48	2022-07-02	6
2033	49	3416	2022-07-03	7
2034	52	2697	2022-07-03	1
2035	59	3969	2022-07-03	10
2036	69	2978	2022-07-03	3
2037	106	2855	2022-07-03	2
2038	114	2969	2022-07-03	1
2039	180	1005	2022-07-03	2
2040	198	1697	2022-07-03	8
2041	199	2011	2022-07-03	10
2042	209	2011	2022-07-03	9
2043	212	2057	2022-07-03	8
2044	226	1789	2022-07-03	2
2045	5	2362	2022-07-04	8
2046	16	4096	2022-07-04	2
2047	32	4127	2022-07-04	10
2048	55	4114	2022-07-04	1
2049	58	3327	2022-07-04	10
2050	64	2777	2022-07-04	9
2051	79	3455	2022-07-04	1
2052	105	2436	2022-07-04	5
2053	117	3507	2022-07-04	7
2054	120	2633	2022-07-04	6
2055	154	508	2022-07-04	10
2056	162	725	2022-07-04	10
2057	166	101	2022-07-04	6
2058	175	717	2022-07-04	1
2059	230	940	2022-07-04	5
2060	12	3105	2022-07-05	9
2061	22	2903	2022-07-05	5
2062	22	2640	2022-07-05	3
2063	51	4090	2022-07-05	4
2064	59	2236	2022-07-05	7
2065	71	4182	2022-07-05	6
2066	73	3011	2022-07-05	2
2067	90	2461	2022-07-05	2
2068	102	3502	2022-07-05	10
2069	104	2890	2022-07-05	6
2070	111	3044	2022-07-05	8
2071	185	101	2022-07-05	5
2072	201	1336	2022-07-05	3
2073	221	1775	2022-07-05	9
2074	3	3767	2022-07-06	5
2075	33	2683	2022-07-06	1
2076	45	4135	2022-07-06	2
2077	48	2879	2022-07-06	7
2078	57	3658	2022-07-06	7
2079	98	3721	2022-07-06	8
2080	118	3932	2022-07-06	7
2081	193	412	2022-07-06	4
2082	208	903	2022-07-06	3
2083	17	3881	2022-07-07	4
2084	32	2660	2022-07-07	1
2085	58	3247	2022-07-07	7
2086	67	2778	2022-07-07	4
2087	86	2530	2022-07-07	2
2088	111	3867	2022-07-07	8
2089	115	2210	2022-07-07	10
2090	118	2859	2022-07-07	2
2091	143	1507	2022-07-07	10
2092	151	390	2022-07-07	7
2093	160	350	2022-07-07	9
2094	184	11	2022-07-07	10
2095	207	1582	2022-07-07	5
2096	208	1455	2022-07-07	9
2097	210	957	2022-07-07	1
2098	223	1758	2022-07-07	10
2099	233	702	2022-07-07	10
2100	13	3349	2022-07-08	5
2101	17	3845	2022-07-08	8
2102	27	2466	2022-07-08	1
2103	29	3988	2022-07-08	7
2104	53	3789	2022-07-08	5
2105	57	2395	2022-07-08	10
2106	79	3847	2022-07-08	5
2107	84	3665	2022-07-08	3
2108	143	1505	2022-07-08	9
2109	144	1046	2022-07-08	5
2110	149	2012	2022-07-08	5
2111	221	514	2022-07-08	5
2112	233	563	2022-07-08	8
2113	10	2668	2022-07-09	10
2114	27	3847	2022-07-09	9
2115	86	4323	2022-07-09	9
2116	87	3958	2022-07-09	8
2117	90	3760	2022-07-09	9
2118	102	3837	2022-07-09	1
2119	113	2411	2022-07-09	3
2120	133	1796	2022-07-09	9
2121	158	127	2022-07-09	1
2122	185	1483	2022-07-09	1
2123	188	986	2022-07-09	7
2124	212	793	2022-07-09	3
2125	218	1374	2022-07-09	3
2126	15	2853	2022-07-10	7
2127	31	3383	2022-07-10	10
2128	104	2502	2022-07-10	1
2129	112	3788	2022-07-10	1
2130	116	3945	2022-07-10	5
2131	116	3937	2022-07-10	7
2132	131	1105	2022-07-10	5
2133	157	868	2022-07-10	7
2134	157	404	2022-07-10	4
2135	176	2134	2022-07-10	4
2136	221	1634	2022-07-10	5
2137	1	3828	2022-07-11	3
2138	5	3016	2022-07-11	5
2139	77	3530	2022-07-11	6
2140	93	2505	2022-07-11	7
2141	174	1266	2022-07-11	4
2142	58	3128	2022-07-12	1
2143	100	3925	2022-07-12	1
2144	103	2296	2022-07-12	4
2145	117	4294	2022-07-12	7
2146	135	1461	2022-07-12	3
2147	169	1939	2022-07-12	3
2148	170	1090	2022-07-12	8
2149	176	565	2022-07-12	7
2150	196	845	2022-07-12	3
2151	41	2957	2022-07-13	4
2152	42	3132	2022-07-13	9
2153	54	2571	2022-07-13	6
2154	61	2254	2022-07-13	5
2155	62	2833	2022-07-13	5
2156	87	2853	2022-07-13	3
2157	104	4132	2022-07-13	10
2158	124	2514	2022-07-13	7
2159	146	399	2022-07-13	7
2160	152	1929	2022-07-13	7
2161	160	243	2022-07-13	10
2162	198	127	2022-07-13	10
2163	201	278	2022-07-13	3
2164	216	490	2022-07-13	8
2165	232	305	2022-07-13	10
2166	8	4075	2022-07-14	5
2167	49	3193	2022-07-14	6
2168	56	4217	2022-07-14	8
2169	129	1521	2022-07-14	10
2170	231	893	2022-07-14	8
2171	42	2598	2022-07-15	9
2172	80	4332	2022-07-15	6
2173	93	3137	2022-07-15	10
2174	105	3226	2022-07-15	3
2175	129	1302	2022-07-15	3
2176	145	582	2022-07-15	7
2177	174	1043	2022-07-15	4
2178	198	1988	2022-07-15	7
2179	206	227	2022-07-15	5
2180	70	4247	2022-07-16	1
2181	83	2554	2022-07-16	7
2182	88	4029	2022-07-16	8
2183	97	2870	2022-07-16	6
2184	108	3384	2022-07-16	10
2185	119	4349	2022-07-16	3
2186	119	3979	2022-07-16	6
2187	133	324	2022-07-16	2
2188	169	1539	2022-07-16	6
2189	201	915	2022-07-16	9
2190	217	1069	2022-07-16	10
2191	221	2100	2022-07-16	2
2192	58	4008	2022-07-17	4
2193	78	2572	2022-07-17	5
2194	106	3187	2022-07-17	4
2195	119	2889	2022-07-17	10
2196	121	3029	2022-07-17	2
2197	143	1476	2022-07-17	9
2198	182	1122	2022-07-17	9
2199	182	1647	2022-07-17	5
2200	72	4319	2022-07-18	7
2201	150	1928	2022-07-18	2
2202	155	2154	2022-07-18	7
2203	166	477	2022-07-18	7
2204	209	898	2022-07-18	3
2205	227	1972	2022-07-18	2
2206	36	4021	2022-07-19	8
2207	38	3487	2022-07-19	3
2208	83	2768	2022-07-19	8
2209	103	2504	2022-07-19	6
2210	126	369	2022-07-19	2
2211	187	1903	2022-07-19	3
2212	2	3349	2022-07-20	4
2213	44	4166	2022-07-20	4
2214	48	3987	2022-07-20	10
2215	64	3740	2022-07-20	2
2216	87	2266	2022-07-20	5
2217	100	3877	2022-07-20	6
2218	106	2566	2022-07-20	8
2219	113	3340	2022-07-20	1
2220	136	778	2022-07-20	8
2221	154	1219	2022-07-20	2
2222	214	409	2022-07-20	7
2223	27	3216	2022-07-21	8
2224	50	2430	2022-07-21	5
2225	66	2679	2022-07-21	8
2226	137	2153	2022-07-21	10
2227	222	2112	2022-07-21	4
2228	3	3920	2022-07-22	6
2229	19	4238	2022-07-22	9
2230	51	4318	2022-07-22	10
2231	78	2724	2022-07-22	7
2232	86	3758	2022-07-22	7
2233	109	3330	2022-07-22	6
2234	123	2463	2022-07-22	4
2235	176	1194	2022-07-22	10
2236	180	1614	2022-07-22	1
2237	183	1260	2022-07-22	3
2238	7	3179	2022-07-23	2
2239	30	2792	2022-07-23	9
2240	32	2618	2022-07-23	8
2241	37	4174	2022-07-23	2
2242	42	2755	2022-07-23	10
2243	72	3228	2022-07-23	2
2244	73	3895	2022-07-23	7
2245	87	4105	2022-07-23	2
2246	100	3309	2022-07-23	1
2247	113	2541	2022-07-23	6
2248	121	3974	2022-07-23	4
2249	128	638	2022-07-23	7
2250	129	377	2022-07-23	8
2251	148	1806	2022-07-23	4
2252	173	1894	2022-07-23	5
2253	178	1718	2022-07-23	6
2254	192	26	2022-07-23	7
2255	219	1683	2022-07-23	6
2256	230	167	2022-07-23	1
2257	231	1187	2022-07-23	5
2258	8	4299	2022-07-24	3
2259	17	2440	2022-07-24	2
2260	23	2957	2022-07-24	4
2261	78	2616	2022-07-24	6
2262	106	3632	2022-07-24	6
2263	112	3592	2022-07-24	10
2264	164	357	2022-07-24	1
2265	178	744	2022-07-24	10
2266	181	727	2022-07-24	4
2267	219	7	2022-07-24	5
2268	233	143	2022-07-24	4
2269	37	4183	2022-07-25	10
2270	42	4139	2022-07-25	1
2271	70	2884	2022-07-25	8
2272	121	3065	2022-07-25	5
2273	138	1476	2022-07-25	3
2274	138	1023	2022-07-25	5
2275	146	185	2022-07-25	8
2276	148	1757	2022-07-25	3
2277	168	681	2022-07-25	10
2278	180	1627	2022-07-25	1
2279	214	1797	2022-07-25	2
2280	217	274	2022-07-25	6
2281	5	2585	2022-07-26	6
2282	19	4208	2022-07-26	8
2283	35	4214	2022-07-26	10
2284	50	4390	2022-07-26	3
2285	54	3273	2022-07-26	5
2286	55	3226	2022-07-26	10
2287	58	3688	2022-07-26	1
2288	80	4337	2022-07-26	4
2289	116	3856	2022-07-26	3
2290	126	2047	2022-07-26	10
2291	139	1751	2022-07-26	2
2292	144	1686	2022-07-26	8
2293	151	967	2022-07-26	1
2294	185	1873	2022-07-26	4
2295	187	1047	2022-07-26	3
2296	190	337	2022-07-26	8
2297	220	120	2022-07-26	3
2298	1	2872	2022-07-27	7
2299	5	2822	2022-07-27	1
2300	97	4186	2022-07-27	9
2301	123	2887	2022-07-27	7
2302	128	1682	2022-07-27	3
2303	134	382	2022-07-27	3
2304	197	361	2022-07-27	4
2305	229	1893	2022-07-27	6
2306	231	1567	2022-07-27	5
2307	8	3013	2022-07-28	3
2308	44	3683	2022-07-28	4
2309	84	2204	2022-07-28	10
2310	94	4007	2022-07-28	3
2311	110	2902	2022-07-28	5
2312	126	1652	2022-07-28	5
2313	1	2909	2022-07-29	7
2314	12	3824	2022-07-29	3
2315	19	3005	2022-07-29	9
2316	58	4105	2022-07-29	6
2317	65	3549	2022-07-29	7
2318	99	2711	2022-07-29	8
2319	107	2631	2022-07-29	3
2320	110	3240	2022-07-29	8
2321	135	1538	2022-07-29	6
2322	156	947	2022-07-29	4
2323	210	1662	2022-07-29	8
2324	33	2990	2022-07-30	3
2325	50	2497	2022-07-30	7
2326	71	2971	2022-07-30	6
2327	73	2478	2022-07-30	10
2328	76	2804	2022-07-30	6
2329	78	4236	2022-07-30	9
2330	86	2208	2022-07-30	10
2331	152	176	2022-07-30	3
2332	154	203	2022-07-30	10
2333	171	361	2022-07-30	3
2334	180	1288	2022-07-30	4
2335	10	3127	2022-07-31	2
2336	33	3537	2022-07-31	1
2337	41	2615	2022-07-31	6
2338	42	2978	2022-07-31	6
2339	75	2528	2022-07-31	6
2340	156	1224	2022-07-31	8
2341	176	2038	2022-07-31	3
2342	201	419	2022-07-31	4
2343	230	2073	2022-07-31	4
2344	80	2305	2022-08-01	5
2345	86	2307	2022-08-01	8
2346	86	2169	2022-08-01	2
2347	99	2879	2022-08-01	5
2348	104	2402	2022-08-01	8
2349	123	3883	2022-08-01	7
2350	132	1107	2022-08-01	2
2351	159	1649	2022-08-01	7
2352	184	887	2022-08-01	10
2353	202	1841	2022-08-01	8
2354	220	1318	2022-08-01	6
2355	1	2329	2022-08-02	2
2356	71	2595	2022-08-02	4
2357	91	3381	2022-08-02	6
2358	106	4216	2022-08-02	3
2359	106	2600	2022-08-02	10
2360	181	1714	2022-08-02	10
2361	206	1160	2022-08-02	3
2362	11	3443	2022-08-03	2
2363	14	3495	2022-08-03	8
2364	20	4274	2022-08-03	4
2365	29	3383	2022-08-03	3
2366	48	2951	2022-08-03	1
2367	56	3042	2022-08-03	7
2368	142	1351	2022-08-03	6
2369	144	944	2022-08-03	5
2370	192	257	2022-08-03	4
2371	194	1187	2022-08-03	8
2372	195	2008	2022-08-03	10
2373	195	580	2022-08-03	8
2374	219	112	2022-08-03	7
2375	220	12	2022-08-03	8
2376	222	409	2022-08-03	1
2377	230	1252	2022-08-03	8
2378	1	3188	2022-08-04	5
2379	24	4145	2022-08-04	4
2380	39	3149	2022-08-04	10
2381	79	3927	2022-08-04	4
2382	89	3212	2022-08-04	7
2383	139	1765	2022-08-04	7
2384	155	23	2022-08-04	7
2385	68	3128	2022-08-05	1
2386	73	4207	2022-08-05	5
2387	82	3136	2022-08-05	7
2388	83	2582	2022-08-05	9
2389	132	161	2022-08-05	6
2390	158	300	2022-08-05	1
2391	174	1232	2022-08-05	5
2392	195	1566	2022-08-05	5
2393	216	412	2022-08-05	3
2394	11	3744	2022-08-06	4
2395	41	3342	2022-08-06	2
2396	46	3277	2022-08-06	6
2397	104	2843	2022-08-06	5
2398	106	3711	2022-08-06	4
2399	107	2226	2022-08-06	7
2400	121	2761	2022-08-06	3
2401	203	1479	2022-08-06	2
2402	204	1440	2022-08-06	5
2403	210	1654	2022-08-06	10
2404	233	949	2022-08-06	5
2405	11	3512	2022-08-07	6
2406	41	4168	2022-08-07	8
2407	84	3794	2022-08-07	8
2408	107	4054	2022-08-07	3
2409	140	1658	2022-08-07	6
2410	145	2086	2022-08-07	8
2411	163	1647	2022-08-07	3
2412	189	1700	2022-08-07	3
2413	213	827	2022-08-07	10
2414	5	4245	2022-08-08	1
2415	59	4054	2022-08-08	6
2416	101	3476	2022-08-08	9
2417	118	3188	2022-08-08	5
2418	184	648	2022-08-08	10
2419	1	3509	2022-08-09	2
2420	2	4359	2022-08-09	1
2421	2	3828	2022-08-09	6
2422	7	2181	2022-08-09	4
2423	40	3699	2022-08-09	9
2424	44	4066	2022-08-09	7
2425	53	2340	2022-08-09	6
2426	68	3856	2022-08-09	6
2427	69	3900	2022-08-09	1
2428	92	2262	2022-08-09	3
2429	107	2268	2022-08-09	1
2430	119	4330	2022-08-09	10
2431	200	519	2022-08-09	5
2432	202	155	2022-08-09	3
2433	1	3321	2022-08-10	9
2434	16	3850	2022-08-10	7
2435	18	4131	2022-08-10	1
2436	119	3483	2022-08-10	10
2437	11	3738	2022-08-11	5
2438	21	3169	2022-08-11	6
2439	26	3575	2022-08-11	3
2440	50	3664	2022-08-11	5
2441	64	4174	2022-08-11	9
2442	65	3589	2022-08-11	2
2443	74	3234	2022-08-11	4
2444	85	2552	2022-08-11	8
2445	91	3564	2022-08-11	1
2446	108	3779	2022-08-11	4
2447	121	3170	2022-08-11	2
2448	129	1388	2022-08-11	9
2449	130	1390	2022-08-11	8
2450	150	1254	2022-08-11	3
2451	203	1524	2022-08-11	7
2452	59	3061	2022-08-12	9
2453	60	4328	2022-08-12	6
2454	62	4061	2022-08-12	7
2455	65	3638	2022-08-12	2
2456	97	2283	2022-08-12	4
2457	106	3357	2022-08-12	2
2458	113	4117	2022-08-12	5
2459	160	1550	2022-08-12	10
2460	188	2019	2022-08-12	1
2461	19	3034	2022-08-13	2
2462	102	2329	2022-08-13	3
2463	102	3348	2022-08-13	10
2464	117	3363	2022-08-13	5
2465	140	2111	2022-08-13	3
2466	164	1206	2022-08-13	2
2467	165	1706	2022-08-13	10
2468	165	518	2022-08-13	8
2469	199	1253	2022-08-13	1
2470	212	1907	2022-08-13	1
2471	25	3631	2022-08-14	2
2472	31	2915	2022-08-14	3
2473	31	4135	2022-08-14	8
2474	33	3331	2022-08-14	1
2475	85	3618	2022-08-14	10
2476	86	3379	2022-08-14	1
2477	99	3060	2022-08-14	7
2478	111	4057	2022-08-14	1
2479	161	2037	2022-08-14	2
2480	208	861	2022-08-14	7
2481	31	2365	2022-08-15	10
2482	45	4064	2022-08-15	5
2483	51	2355	2022-08-15	1
2484	51	2911	2022-08-15	4
2485	51	3894	2022-08-15	2
2486	71	3147	2022-08-15	1
2487	96	3298	2022-08-15	2
2488	100	4184	2022-08-15	1
2489	148	1194	2022-08-15	7
2490	156	1431	2022-08-15	3
2491	166	1156	2022-08-15	10
2492	221	1448	2022-08-15	8
2493	2	2641	2022-08-16	1
2494	17	4289	2022-08-16	10
2495	17	4065	2022-08-16	6
2496	27	3536	2022-08-16	6
2497	37	2616	2022-08-16	10
2498	38	2953	2022-08-16	6
2499	50	2608	2022-08-16	7
2500	55	3832	2022-08-16	9
2501	68	2976	2022-08-16	5
2502	83	2884	2022-08-16	6
2503	86	3375	2022-08-16	5
2504	86	4314	2022-08-16	9
2505	91	3753	2022-08-16	9
2506	115	3397	2022-08-16	4
2507	182	1835	2022-08-16	4
2508	3	2488	2022-08-17	4
2509	36	3875	2022-08-17	5
2510	41	3385	2022-08-17	7
2511	58	2224	2022-08-17	5
2512	67	3179	2022-08-17	6
2513	83	4019	2022-08-17	1
2514	90	2159	2022-08-17	10
2515	117	3385	2022-08-17	7
2516	121	4180	2022-08-17	9
2517	139	163	2022-08-17	4
2518	215	1039	2022-08-17	2
2519	43	4043	2022-08-18	4
2520	133	1428	2022-08-18	7
2521	147	569	2022-08-18	2
2522	161	679	2022-08-18	7
2523	186	223	2022-08-18	8
2524	213	739	2022-08-18	9
2525	213	40	2022-08-18	4
2526	8	3782	2022-08-19	7
2527	9	2765	2022-08-19	7
2528	21	2396	2022-08-19	7
2529	22	4024	2022-08-19	10
2530	48	3066	2022-08-19	8
2531	57	2933	2022-08-19	7
2532	68	4369	2022-08-19	9
2533	94	3730	2022-08-19	7
2534	132	1602	2022-08-19	3
2535	135	1049	2022-08-19	8
2536	168	1628	2022-08-19	9
2537	170	671	2022-08-19	5
2538	219	1696	2022-08-19	1
2539	6	4110	2022-08-20	7
2540	45	3845	2022-08-20	2
2541	64	3792	2022-08-20	10
2542	71	3208	2022-08-20	4
2543	98	3159	2022-08-20	3
2544	108	3383	2022-08-20	5
2545	116	2761	2022-08-20	2
2546	144	480	2022-08-20	4
2547	147	1545	2022-08-20	1
2548	193	1273	2022-08-20	6
2549	197	1001	2022-08-20	7
2550	232	1006	2022-08-20	5
2551	34	3453	2022-08-21	5
2552	36	3679	2022-08-21	6
2553	36	4059	2022-08-21	9
2554	66	2415	2022-08-21	5
2555	72	2699	2022-08-21	10
2556	82	2563	2022-08-21	3
